nct_id,last_update_submitted_date,registration_date,summary_results_date,study_type,phase,enrollment,recruitment_status,title,start_date,completion_date,primary_completion_date,has_summary_results,allocation,masking,main_sponsor,is_multicentric,stanford_lead_sponsor,stanford_principal_investigator,stanford_unspecified_official,stanford_study_director,stanford_sub_investigator,stanford_study_chair,stanford_responsible_party,registration_year,start_year,completion_year
NCT00000408,2013-04-30,1999-11-03,NA,Interventional,Not Applicable,580,Completed,Low Back Pain Patient Education Evaluation,1998-02-01T00:00:00Z,2002-02-01T00:00:00Z,2002-02-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,Stanford University,Stanford University,NA,NA,NA,NA,Stanford University,1999,1998,2002
NCT00000414,2013-06-19,1999-11-03,NA,Interventional,Not Applicable,1200,Completed,Patient Education in Rheumatoid Arthritis and Osteoarthritis,1996-07-01T00:00:00Z,2001-04-01T00:00:00Z,2001-04-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,TRUE,Stanford University,Stanford University,NA,NA,NA,NA,Stanford University,1999,1996,2001
NCT00000425,2013-04-30,1999-11-03,NA,Interventional,Phase 3,900,Completed,Toward Better Outcomes in Osteoarthritis,1996-07-01T00:00:00Z,2001-04-01T00:00:00Z,NA,FALSE,Randomized,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,NA,NA,1999,1996,2001
NCT00000486,2013-11-25,1999-10-27,NA,Interventional,Phase 3,NA,Completed,Unstable Angina Pectoris Trial,1972-01-01T00:00:00Z,1980-01-01T00:00:00Z,NA,FALSE,Randomized,NA,NIH,TRUE,NA,NA,Stanford University,NA,NA,NA,NA,1999,1972,1980
NCT00000488,2016-04-13,1999-10-27,NA,Interventional,Phase 3,NA,Completed,Lipid Research Clinics Coronary Primary Prevention Trial (CPPT),1973-06-01T00:00:00Z,1989-10-01T00:00:00Z,NA,FALSE,Randomized,Double,NIH,TRUE,NA,NA,Stanford University,NA,NA,NA,NA,1999,1973,1989
NCT00000508,2016-01-08,1999-10-27,NA,Interventional,Phase 3,NA,Completed,Stanford Coronary Risk Intervention Project (SCRIP),1983-09-01T00:00:00Z,1993-03-01T00:00:00Z,NA,FALSE,Randomized,NA,OTHER,TRUE,Stanford University,NA,Stanford University,NA,NA,NA,NA,1999,1983,1993
NCT00000519,2013-06-25,1999-10-27,NA,Interventional,Phase 3,NA,Completed,Exercise Training and Plasma Lipoproteins in Man,1982-07-01T00:00:00Z,NA,NA,FALSE,Randomized,NA,OTHER,TRUE,Stanford University,NA,NA,NA,NA,NA,NA,1999,1982,NA
NCT00000598,2016-01-08,1999-10-27,NA,Interventional,Phase 3,NA,Completed,Diet and Exercise for Elevated Risk (DEER),1991-08-01T00:00:00Z,1996-08-01T00:00:00Z,NA,FALSE,Randomized,NA,OTHER,TRUE,Stanford University,NA,Stanford University,NA,NA,NA,NA,1999,1991,1996
NCT00000615,2021-04-30,1999-10-27,NA,Interventional,Phase 2,NA,Completed,Girls Health Enrichment Multi-Site Studies (GEMS),1999-08-01T00:00:00Z,2006-11-01T00:00:00Z,NA,FALSE,NA,NA,OTHER,TRUE,Stanford University,NA,Stanford University,NA,NA,NA,Stanford University,1999,1999,2006
NCT00002111,2005-06-23,1999-11-02,NA,Interventional,Phase 1,32,Completed,A Dose-Escalating Study of Ro 31-8959 ( HIV Protease Inhibitor ) in Patients With HIV Disease.,NA,NA,NA,FALSE,NA,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,NA,NA,1999,NA,NA
NCT00002632,2013-08-28,1999-11-01,NA,Interventional,Phase 2,32,Completed,Paclitaxel in Treating Patients With Metastatic or Recurrent Salivary Gland Cancer,1995-03-01T00:00:00Z,NA,2002-05-01T00:00:00Z,FALSE,NA,NA,NETWORK,TRUE,NA,NA,NA,NA,NA,Stanford University,NA,1999,1995,NA
NCT00002714,2013-05-14,1999-11-01,NA,Interventional,Phase 2,NA,Completed,Combination Chemotherapy Plus Radiation Therapy in Treating Patients With Early-Stage Hodgkin's Disease,1995-04-01T00:00:00Z,2001-09-01T00:00:00Z,NA,FALSE,NA,NA,OTHER,FALSE,Stanford University,NA,NA,NA,NA,Stanford University,NA,1999,1995,2001
NCT00002715,2020-08-10,1999-11-01,NA,Interventional,Phase 2,50,Completed,Combination Chemotherapy in Treating Patients With Advanced Hodgkin's Lymphoma,1989-04-01T00:00:00Z,2015-10-01T00:00:00Z,2007-01-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,Stanford University,NA,1999,1989,2015
NCT00002774,2014-06-19,2000-04-06,NA,Interventional,Phase 2,63,Completed,Radiation Therapy and Combination Chemotherapy in Treating Patients With Stage III or Stage IV Head and Neck Cancer,1996-06-01T00:00:00Z,2005-06-01T00:00:00Z,2000-06-01T00:00:00Z,FALSE,Randomized,NA,OTHER,TRUE,Stanford University,NA,NA,NA,NA,Stanford University,NA,2000,1996,2005
NCT00002826,2013-08-28,1999-11-01,NA,Interventional,Phase 2,36,Completed,Drug Resistance Inhibition in Treating Women With Recurrent or Metastatic Breast Cancer,1997-06-01T00:00:00Z,NA,2003-11-01T00:00:00Z,FALSE,NA,NA,NETWORK,TRUE,NA,NA,NA,NA,NA,Stanford University,NA,1999,1997,NA
NCT00002912,2013-01-31,1999-11-01,NA,Interventional,Phase 1,3,Completed,Combination Chemotherapy Plus PSC-833 in Treating Children With Refractory or Relapsed Acute Leukemia,1997-01-01T00:00:00Z,NA,2006-03-01T00:00:00Z,FALSE,NA,None (Open Label),NIH,TRUE,NA,NA,NA,NA,NA,Lucile Packard Children's Hospital at Stanford University Medical Center,NA,1999,1997,NA
NCT00003389,2017-10-18,1999-11-01,2015-08-05,Interventional,Phase 3,854,Completed,Combination Chemotherapy With or Without Radiation Therapy in Treating Patients With Hodgkin's Lymphoma,1999-04-01T00:00:00Z,2016-05-01T00:00:00Z,2011-09-01T00:00:00Z,TRUE,Randomized,None (Open Label),NETWORK,TRUE,NA,NA,NA,NA,NA,Stanford University,NA,1999,1999,2016
