nct_id,last_update_submitted_date,registration_date,summary_results_date,study_type,phase,enrollment,recruitment_status,title,start_date,completion_date,primary_completion_date,has_summary_results,allocation,masking,main_sponsor,is_multicentric,stanford_lead_sponsor,stanford_principal_investigator,stanford_unspecified_official,stanford_study_director,stanford_sub_investigator,stanford_study_chair,stanford_responsible_party,registration_year,start_year,completion_year
NCT00000408,2013-04-30,1999-11-03,NA,Interventional,Not Applicable,580,Completed,Low Back Pain Patient Education Evaluation,1998-02-01T00:00:00Z,2002-02-01T00:00:00Z,2002-02-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,Stanford University,Stanford University,NA,NA,NA,NA,Stanford University,1999,1998,2002
NCT00000414,2013-06-19,1999-11-03,NA,Interventional,Not Applicable,1200,Completed,Patient Education in Rheumatoid Arthritis and Osteoarthritis,1996-07-01T00:00:00Z,2001-04-01T00:00:00Z,2001-04-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,TRUE,Stanford University,Stanford University,NA,NA,NA,NA,Stanford University,1999,1996,2001
NCT00000425,2013-04-30,1999-11-03,NA,Interventional,Phase 3,900,Completed,Toward Better Outcomes in Osteoarthritis,1996-07-01T00:00:00Z,2001-04-01T00:00:00Z,NA,FALSE,Randomized,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,NA,NA,1999,1996,2001
NCT00000486,2013-11-25,1999-10-27,NA,Interventional,Phase 3,NA,Completed,Unstable Angina Pectoris Trial,1972-01-01T00:00:00Z,1980-01-01T00:00:00Z,NA,FALSE,Randomized,NA,NIH,TRUE,NA,NA,Stanford University,NA,NA,NA,NA,1999,1972,1980
NCT00000488,2016-04-13,1999-10-27,NA,Interventional,Phase 3,NA,Completed,Lipid Research Clinics Coronary Primary Prevention Trial (CPPT),1973-06-01T00:00:00Z,1989-10-01T00:00:00Z,NA,FALSE,Randomized,Double,NIH,TRUE,NA,NA,Stanford University,NA,NA,NA,NA,1999,1973,1989
NCT00000508,2016-01-08,1999-10-27,NA,Interventional,Phase 3,NA,Completed,Stanford Coronary Risk Intervention Project (SCRIP),1983-09-01T00:00:00Z,1993-03-01T00:00:00Z,NA,FALSE,Randomized,NA,OTHER,TRUE,Stanford University,NA,Stanford University,NA,NA,NA,NA,1999,1983,1993
NCT00000598,2016-01-08,1999-10-27,NA,Interventional,Phase 3,NA,Completed,Diet and Exercise for Elevated Risk (DEER),1991-08-01T00:00:00Z,1996-08-01T00:00:00Z,NA,FALSE,Randomized,NA,OTHER,TRUE,Stanford University,NA,Stanford University,NA,NA,NA,NA,1999,1991,1996
NCT00000615,2021-04-30,1999-10-27,NA,Interventional,Phase 2,NA,Completed,Girls Health Enrichment Multi-Site Studies (GEMS),1999-08-01T00:00:00Z,2006-11-01T00:00:00Z,NA,FALSE,NA,NA,OTHER,TRUE,Stanford University,NA,Stanford University,NA,NA,NA,Stanford University,1999,1999,2006
NCT00002714,2013-05-14,1999-11-01,NA,Interventional,Phase 2,NA,Completed,Combination Chemotherapy Plus Radiation Therapy in Treating Patients With Early-Stage Hodgkin's Disease,1995-04-01T00:00:00Z,2001-09-01T00:00:00Z,NA,FALSE,NA,NA,OTHER,FALSE,Stanford University,NA,NA,NA,NA,Stanford University,NA,1999,1995,2001
NCT00002715,2020-08-10,1999-11-01,NA,Interventional,Phase 2,50,Completed,Combination Chemotherapy in Treating Patients With Advanced Hodgkin's Lymphoma,1989-04-01T00:00:00Z,2015-10-01T00:00:00Z,2007-01-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,Stanford University,NA,NA,NA,NA,Stanford University,NA,1999,1989,2015
NCT00002774,2014-06-19,2000-04-06,NA,Interventional,Phase 2,63,Completed,Radiation Therapy and Combination Chemotherapy in Treating Patients With Stage III or Stage IV Head and Neck Cancer,1996-06-01T00:00:00Z,2005-06-01T00:00:00Z,2000-06-01T00:00:00Z,FALSE,Randomized,NA,OTHER,TRUE,Stanford University,NA,NA,NA,NA,Stanford University,NA,2000,1996,2005
NCT00003389,2017-10-18,1999-11-01,2015-08-05,Interventional,Phase 3,854,Completed,Combination Chemotherapy With or Without Radiation Therapy in Treating Patients With Hodgkin's Lymphoma,1999-04-01T00:00:00Z,2016-05-01T00:00:00Z,2011-09-01T00:00:00Z,TRUE,Randomized,None (Open Label),NETWORK,TRUE,NA,NA,NA,NA,NA,Stanford University,NA,1999,1999,2016
NCT00003811,2013-07-03,1999-11-01,NA,Interventional,Phase 2,27,Completed,Combination Chemotherapy Plus Amifostine in Treating Children With Malignant Germ Cell Tumors,2000-04-01T00:00:00Z,2007-09-01T00:00:00Z,2004-10-01T00:00:00Z,FALSE,NA,NA,NETWORK,TRUE,NA,NA,NA,NA,NA,Stanford University,NA,1999,2000,2007
NCT00003820,2017-03-08,1999-11-01,2013-05-29,Interventional,Phase 2,39,Completed,Rituximab in Treating Patients With Hodgkin's Lymphoma,1999-01-01T00:00:00Z,2008-08-01T00:00:00Z,2008-08-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,TRUE,NA,Stanford University,NA,Stanford University,NA,NA,Stanford University,1999,1999,2008
NCT00004380,2005-06-23,1999-10-18,NA,Interventional,Phase 2,1,Completed,Phase II Study of Recombinant Relaxin for Progressive Systemic Sclerosis,1991-12-01T00:00:00Z,1997-12-01T00:00:00Z,NA,FALSE,Non-Randomized,NA,NIH,TRUE,NA,NA,NA,NA,NA,Stanford University,NA,1999,1991,1997
NCT00005090,2013-01-22,2000-04-06,NA,Interventional,Phase 3,11,Terminated,S9901 Combination Chemotherapy With or Without Peripheral Stem Cell Transplantation in Treating Men With Stage III or Stage IV Hodgkin's Disease,2000-04-01T00:00:00Z,2005-05-01T00:00:00Z,2005-05-01T00:00:00Z,FALSE,Randomized,None (Open Label),NETWORK,TRUE,NA,NA,NA,NA,NA,Stanford University,NA,2000,2000,2005
