nct_id,last_update_submitted_date,registration_date,summary_results_date,study_type,phase,enrollment,recruitment_status,title,start_date,completion_date,primary_completion_date,has_summary_results,allocation,masking,main_sponsor,is_multicentric,ucdavis_lead_sponsor,ucdavis_principal_investigator,ucdavis_study_chair,ucdavis_study_director,ucdavis_unspecified_official,ucdavis_responsible_party,registration_year,start_year,completion_year
NCT00000491,2016-03-24,1999-10-27,NA,Interventional,Phase 3,NA,Completed,Aspirin-Myocardial Infarction Study (AMIS),1974-10-01T00:00:00Z,1979-08-01T00:00:00Z,NA,FALSE,Randomized,Double,NIH,TRUE,NA,NA,NA,NA,"University of California, Davis",NA,1999,1974,1979
NCT00000492,2016-07-11,1999-10-27,NA,Interventional,Phase 3,NA,Completed,Beta-Blocker Heart Attack Trial (BHAT),1977-09-01T00:00:00Z,1981-10-01T00:00:00Z,NA,FALSE,Randomized,Double,NIH,TRUE,NA,NA,NA,NA,"University of California, Davis",NA,1999,1977,1981
NCT00000501,2013-11-25,1999-10-27,NA,Interventional,Phase 2,NA,Completed,Hypertension Prevention Trial (HPT) Feasibility Study,1981-09-01T00:00:00Z,1986-08-01T00:00:00Z,NA,FALSE,Randomized,NA,NIH,TRUE,NA,NA,NA,NA,"University of California, Davis",NA,1999,1981,1986
NCT00002825,2013-02-04,1999-11-01,NA,Interventional,Phase 2,20,Completed,Docetaxel in Treating Children With Recurrent Solid Tumors,1997-01-01T00:00:00Z,NA,2004-12-01T00:00:00Z,FALSE,NA,None (Open Label),NIH,TRUE,NA,NA,"University of California, Davis",NA,NA,NA,1999,1997,NA
NCT00002850,2015-10-13,1999-11-01,2014-07-10,Interventional,Phase 3,212,Completed,Antibiotic Therapy in Preventing Early Infection in Patients With Multiple Myeloma Who Are Receiving Chemotherapy,1997-03-01T00:00:00Z,2012-01-01T00:00:00Z,2011-04-01T00:00:00Z,TRUE,Randomized,None (Open Label),OTHER,TRUE,NA,NA,"University of California, Davis",NA,NA,NA,1999,1997,2012
NCT00003127,2012-06-13,1999-11-01,NA,Interventional,Phase 2,57,Completed,"S9720 Combination Chemotherapy in Treating Patients With Metastatic, Recurrent, or Refractory Endometrial Cancer",1998-02-01T00:00:00Z,2004-07-01T00:00:00Z,2003-04-01T00:00:00Z,FALSE,NA,None (Open Label),NETWORK,TRUE,NA,NA,"University of California, Davis",NA,NA,NA,1999,1998,2004
NCT00003158,2012-07-20,1999-11-01,NA,Interventional,Phase 2,96,Completed,S9712: Radiation Therapy and Combination Chemotherapy in Treating Patients With Stage III Non-small Cell Lung Cancer,1998-02-01T00:00:00Z,2007-12-01T00:00:00Z,2002-12-01T00:00:00Z,FALSE,NA,None (Open Label),NETWORK,TRUE,NA,NA,"University of California, Davis",NA,NA,NA,1999,1998,2007
NCT00003920,2013-08-06,1999-11-01,NA,Interventional,Phase 1,18,Unknown status,Monoclonal Antibody Therapy Plus Cyclosporine and Peripheral Stem Cell Transplantation in Treating Patients With Metastatic Breast Cancer,1996-04-01T00:00:00Z,NA,NA,FALSE,NA,NA,OTHER,FALSE,"University of California, Davis",NA,"University of California, Davis",NA,NA,NA,1999,1996,NA
NCT00005133,2016-10-24,2000-05-25,NA,Observational,NA,NA,Completed,Cardiovascular Health Study (CHS),1988-06-01T00:00:00Z,2009-05-01T00:00:00Z,2009-05-01T00:00:00Z,FALSE,NA,NA,NIH,TRUE,NA,NA,NA,NA,"University of California, Davis",NA,2000,1988,2009
NCT00005275,2013-05-19,2000-05-25,NA,Observational,NA,6441,Completed,Sleep Heart Health Study (SHHS) Data Coordinating Center,1994-09-01T00:00:00Z,2011-05-01T00:00:00Z,2011-05-01T00:00:00Z,FALSE,NA,NA,OTHER,TRUE,NA,"University of California, Davis",NA,NA,NA,NA,2000,1994,2011
