nct_id,last_update_submitted_date,registration_date,summary_results_date,study_type,phase,enrollment,recruitment_status,title,start_date,completion_date,primary_completion_date,has_summary_results,allocation,masking,main_sponsor,is_multicentric,ucdavis_principal_investigator,ucdavis_study_chair,ucdavis_study_director,ucdavis_unspecified_official,registration_year,start_year,completion_year,primary_completion_year
NCT00006384,2011-10-18,2000-10-04,NA,Interventional,Phase 2,NA,Completed,SU5416 and Interferon Alfa-2b in Treating Patients With Unresectable or Metastatic Kidney Cancer,2000-11-01T00:00:00Z,2007-02-01T00:00:00Z,2007-02-01T00:00:00Z,FALSE,NA,NA,OTHER,TRUE,NA,"University of California, Davis",NA,NA,2000,2000,2007,2007
NCT00025454,2010-02-05,2001-10-11,NA,Interventional,Phase 1,NA,Completed,R115777 in Treating Patients With Advanced Solid Tumors,2001-08-01T00:00:00Z,2008-07-01T00:00:00Z,2008-07-01T00:00:00Z,FALSE,NA,NA,OTHER,TRUE,NA,"University of California, Davis",NA,NA,2001,2001,2008,2008
NCT00045162,2018-07-03,2002-09-06,2013-04-16,Interventional,Phase 3,671,Completed,S0124: Cisplatin Combined With Irinotecan or Etoposide For Extensive-Stage Small Cell Lung Cancer,2002-11-01T00:00:00Z,2009-12-01T00:00:00Z,2008-03-01T00:00:00Z,TRUE,Randomized,None (Open Label),NETWORK,TRUE,"University of California, Davis",NA,NA,NA,2002,2002,2009,2008
NCT00045630,2013-04-16,2002-09-06,2012-11-15,Interventional,Phase 2,77,Completed,"S0219, Combination Chemotherapy Followed By Observation or Surgery in Patients With Stage II or Stage III Cancer of the Urothelium",2003-01-01T00:00:00Z,2011-12-01T00:00:00Z,2008-05-01T00:00:00Z,TRUE,NA,None (Open Label),NETWORK,TRUE,NA,"University of California, Davis",NA,NA,2002,2003,2011,2008
NCT00058214,2015-02-09,2003-04-07,2015-02-09,Interventional,Phase 2,25,Terminated,Perifosine in Treating Patients With Recurrent Prostate Cancer,2003-03-01T00:00:00Z,2009-01-01T00:00:00Z,2009-01-01T00:00:00Z,TRUE,NA,None (Open Label),NIH,FALSE,"University of California, Davis",NA,NA,NA,2003,2003,2009,2009
NCT00072189,2015-02-17,2003-11-04,2015-02-17,Interventional,Phase 2,17,Terminated,A Phase II Study of UCN-01 in Metastatic Melanoma,2003-11-01T00:00:00Z,2010-03-01T00:00:00Z,2010-03-01T00:00:00Z,TRUE,NA,None (Open Label),NIH,FALSE,"University of California, Davis",NA,NA,NA,2003,2003,2010,2010
NCT00074295,2012-07-20,2003-12-10,NA,Interventional,Phase 2,19,Terminated,S0310: Vaccine Therapy in Treating Patients With Stage IIIB or Stage IV Bronchoalveolar Lung Cancer,2004-03-01T00:00:00Z,2007-08-01T00:00:00Z,2007-08-01T00:00:00Z,FALSE,NA,None (Open Label),NETWORK,TRUE,"University of California, Davis",NA,NA,NA,2003,2004,2007,2007
NCT00078442,2009-08-06,2004-02-25,NA,Interventional,Phase 2,12,Completed,Safety and Tolerability of Pegylated Interferon (PEG-IFN) Alfa-2a in HIV Infected People,2006-05-01T00:00:00Z,NA,2007-01-01T00:00:00Z,FALSE,Non-Randomized,None (Open Label),NIH,TRUE,NA,"Division of Infectious and Immunologic Diseases, University of California, Davis Medical Center",NA,NA,2004,2006,NA,2007
NCT00085501,2012-10-30,2004-06-10,NA,Interventional,Phase 2,242,Completed,"S0342: Paclitaxel, Carboplatin, and Cetuximab in Treating Patients With Stage IIIB or Stage IV Non-Small Cell Lung Cancer",2004-07-01T00:00:00Z,2011-07-01T00:00:00Z,2007-08-01T00:00:00Z,FALSE,Randomized,None (Open Label),NETWORK,TRUE,"University of California, Davis",NA,NA,NA,2004,2004,2011,2007
NCT00087152,2014-05-12,2004-07-08,2011-07-13,Interventional,Phase 2,27,Completed,"S0338, Imatinib Mesylate and Capecitabine in Treating Women With Progressive Stage IV Breast Cancer",2004-06-01T00:00:00Z,2008-12-01T00:00:00Z,2008-12-01T00:00:00Z,TRUE,NA,None (Open Label),NIH,TRUE,NA,"University of California, Davis",NA,NA,2004,2004,2008,2008
NCT00101036,2018-03-22,2005-01-07,2014-07-21,Interventional,Phase 2,57,Completed,Lapatinib in Treating Patients With Locally Advanced or Metastatic Biliary Tract or Liver Cancer That Cannot Be Removed By Surgery,2004-11-01T00:00:00Z,2009-01-01T00:00:00Z,2009-01-01T00:00:00Z,TRUE,NA,None (Open Label),NIH,FALSE,UC Davis Comprehensive Cancer Center,NA,NA,NA,2005,2004,2009,2009
NCT00221299,2015-06-02,2005-09-14,2014-01-23,Interventional,Phase 4,60,Completed,Risedronate and Parathyroid Hormone to Reverse Osteoporosis Caused by Chronic Steroid Use,2005-09-01T00:00:00Z,2009-05-01T00:00:00Z,2009-03-01T00:00:00Z,TRUE,Randomized,Double,OTHER,FALSE,"University of California, Davis",NA,NA,NA,2005,2005,2009,2009
NCT00273650,2019-09-26,2006-01-06,NA,Interventional,Phase 2/Phase 3,30,Completed,Efficacy Study of Subcutaneous Methyl-B12 in Children With Autism,2005-07-01T00:00:00Z,2009-08-01T00:00:00Z,2009-06-01T00:00:00Z,FALSE,Randomized,Triple,OTHER,FALSE,"University of California, Davis",NA,NA,NA,2006,2005,2009,2009
NCT00280683,2017-05-25,2006-01-19,2012-12-06,Interventional,Phase 2,20,Completed,Effects of L-arginine Supplementation in Adults With Moderate to Severe Asthma,2004-12-01T00:00:00Z,2008-12-01T00:00:00Z,2008-11-01T00:00:00Z,TRUE,Randomized,Quadruple,OTHER,FALSE,"University of California, Davis",NA,NA,NA,2006,2004,2008,2008
NCT00283166,2017-06-07,2006-01-25,NA,Interventional,Not Applicable,258,Completed,Coaching to Improve Care of Cancer Pain,2006-11-01T00:00:00Z,2011-12-01T00:00:00Z,2009-03-01T00:00:00Z,FALSE,Randomized,Triple,OTHER,TRUE,UC Davis Center for Health Services Research in Primary Care,NA,NA,NA,2006,2006,2011,2009
NCT00293202,2021-07-12,2006-02-15,2021-02-25,Interventional,Phase 2,10,Terminated,Safety and Efficacy Study of the Effect of Etanercept in Hemodialysis Patients,2005-01-01T00:00:00Z,2010-06-01T00:00:00Z,2008-03-01T00:00:00Z,TRUE,Randomized,Triple,OTHER,FALSE,"University of California, Davis",NA,NA,NA,2006,2005,2010,2008
NCT00312039,2014-01-20,2006-04-05,NA,Interventional,Phase 1/Phase 2,20,Completed,Study of Once Daily Elvucitabine Versus Lamivudine in Subjects With a Documented M184V Mutation,2006-03-01T00:00:00Z,2007-10-01T00:00:00Z,2007-10-01T00:00:00Z,FALSE,Randomized,Quadruple,INDUSTRY,TRUE,"UC Davis Medical Center, Div. of Infectious Diseases, Sacramento, CA",NA,NA,NA,2006,2006,2007,2007
NCT00328614,2016-10-19,2006-05-19,2013-06-24,Interventional,Phase 1,32,Completed,Samarium-153 With Neoadjuvant Hormonal and Radiation Therapy for Locally Advanced Prostate Cancer,2003-03-01T00:00:00Z,2011-06-01T00:00:00Z,2009-02-01T00:00:00Z,TRUE,Non-Randomized,None (Open Label),OTHER,FALSE,NA,UC Davis School of Medicine,NA,NA,2006,2003,2011,2009
NCT00362882,2017-10-31,2006-08-10,2014-04-08,Interventional,Phase 2,81,Completed,Docetaxel and Bortezomib in Treating Patients With Progressive or Recurrent Non-Small Cell Lung Cancer,2006-07-01T00:00:00Z,2010-07-01T00:00:00Z,2010-07-01T00:00:00Z,TRUE,Randomized,None (Open Label),NIH,FALSE,"University of California, Davis",NA,NA,NA,2006,2006,2010,2010
NCT00364819,2017-06-05,2006-08-15,2017-03-18,Interventional,Phase 1/Phase 2,6,Completed,Initial Study of Rituximab to Treat Primary Biliary Cirrhosis,2007-01-01T00:00:00Z,2009-12-01T00:00:00Z,2009-07-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,"University of California, Davis",NA,"University of California, Davis",NA,2006,2007,2009,2009
