nct_id,last_update_submitted_date,registration_date,summary_results_date,study_type,phase,enrollment,recruitment_status,title,start_date,completion_date,primary_completion_date,has_summary_results,allocation,masking,main_sponsor,is_multicentric,ucdavis_lead_sponsor,ucdavis_principal_investigator,ucdavis_study_chair,ucdavis_study_director,ucdavis_unspecified_official,ucdavis_responsible_party,registration_year,start_year,completion_year
NCT00000491,2016-03-24,1999-10-27,NA,Interventional,Phase 3,NA,Completed,Aspirin-Myocardial Infarction Study (AMIS),1974-10-01T00:00:00Z,1979-08-01T00:00:00Z,NA,FALSE,Randomized,Double,NIH,TRUE,NA,NA,NA,NA,"University of California, Davis",NA,1999,1974,1979
NCT00000492,2016-07-11,1999-10-27,NA,Interventional,Phase 3,NA,Completed,Beta-Blocker Heart Attack Trial (BHAT),1977-09-01T00:00:00Z,1981-10-01T00:00:00Z,NA,FALSE,Randomized,Double,NIH,TRUE,NA,NA,NA,NA,"University of California, Davis",NA,1999,1977,1981
NCT00000501,2013-11-25,1999-10-27,NA,Interventional,Phase 2,NA,Completed,Hypertension Prevention Trial (HPT) Feasibility Study,1981-09-01T00:00:00Z,1986-08-01T00:00:00Z,NA,FALSE,Randomized,NA,NIH,TRUE,NA,NA,NA,NA,"University of California, Davis",NA,1999,1981,1986
NCT00002850,2015-10-13,1999-11-01,2014-07-10,Interventional,Phase 3,212,Completed,Antibiotic Therapy in Preventing Early Infection in Patients With Multiple Myeloma Who Are Receiving Chemotherapy,1997-03-01T00:00:00Z,2012-01-01T00:00:00Z,2011-04-01T00:00:00Z,TRUE,Randomized,None (Open Label),OTHER,TRUE,NA,NA,"University of California, Davis",NA,NA,NA,1999,1997,2012
NCT00003127,2012-06-13,1999-11-01,NA,Interventional,Phase 2,57,Completed,"S9720 Combination Chemotherapy in Treating Patients With Metastatic, Recurrent, or Refractory Endometrial Cancer",1998-02-01T00:00:00Z,2004-07-01T00:00:00Z,2003-04-01T00:00:00Z,FALSE,NA,None (Open Label),NETWORK,TRUE,NA,NA,"University of California, Davis",NA,NA,NA,1999,1998,2004
NCT00003158,2012-07-20,1999-11-01,NA,Interventional,Phase 2,96,Completed,S9712: Radiation Therapy and Combination Chemotherapy in Treating Patients With Stage III Non-small Cell Lung Cancer,1998-02-01T00:00:00Z,2007-12-01T00:00:00Z,2002-12-01T00:00:00Z,FALSE,NA,None (Open Label),NETWORK,TRUE,NA,NA,"University of California, Davis",NA,NA,NA,1999,1998,2007
NCT00005857,2011-10-18,2000-06-02,NA,Interventional,Phase 2,NA,Completed,Trastuzumab and Docetaxel in Treating Patients Who Have Metastatic Prostate Cancer That Is Refractory to Hormone Therapy,2000-08-01T00:00:00Z,2002-10-01T00:00:00Z,2002-10-01T00:00:00Z,FALSE,NA,NA,OTHER,TRUE,NA,NA,"University of California, Davis",NA,NA,NA,2000,2000,2002
NCT00006384,2011-10-18,2000-10-04,NA,Interventional,Phase 2,NA,Completed,SU5416 and Interferon Alfa-2b in Treating Patients With Unresectable or Metastatic Kidney Cancer,2000-11-01T00:00:00Z,2007-02-01T00:00:00Z,2007-02-01T00:00:00Z,FALSE,NA,NA,OTHER,TRUE,NA,NA,"University of California, Davis",NA,NA,NA,2000,2000,2007
NCT00006411,2020-02-24,2000-10-13,2014-09-26,Interventional,Not Applicable,1090,Completed,Cornea Donor Study,2000-01-10T00:00:00Z,2014-07-01T00:00:00Z,2012-12-31T00:00:00Z,TRUE,Non-Randomized,Triple,NIH,FALSE,NA,NA,"University of California, Davis",NA,NA,NA,2000,2000,2014
NCT00006464,2010-01-13,2000-11-06,NA,Interventional,Phase 1,NA,Completed,UCN-01 and Cisplatin in Treating Patients With Advanced or Metastatic Solid Tumors,2001-03-01T00:00:00Z,2008-06-01T00:00:00Z,2005-01-01T00:00:00Z,FALSE,NA,NA,OTHER,TRUE,NA,NA,"University of California, Davis",NA,NA,NA,2000,2001,2008
