nct_id,last_update_submitted_date,registration_date,summary_results_date,study_type,phase,enrollment,recruitment_status,title,start_date,completion_date,primary_completion_date,has_summary_results,allocation,masking,main_sponsor,is_multicentric,uci_lead_sponsor,uci_principal_investigator,uci_study_director,uci_study_chair,uci_unspecified_official,uci_responsible_party,registration_year,start_year,completion_year
NCT00000562,2013-11-25,1999-10-27,NA,Interventional,Phase 3,NA,Completed,Extracorporeal Support for Respiratory Insufficiency (ECMO),1974-06-01T00:00:00Z,1979-11-01T00:00:00Z,NA,FALSE,Randomized,NA,NIH,TRUE,NA,NA,NA,NA,"University of California, Irvine",NA,1999,1974,1979
NCT00002912,2013-01-31,1999-11-01,NA,Interventional,Phase 1,3,Completed,Combination Chemotherapy Plus PSC-833 in Treating Children With Refractory or Relapsed Acute Leukemia,1997-01-01T00:00:00Z,NA,2006-03-01T00:00:00Z,FALSE,NA,None (Open Label),NIH,TRUE,NA,NA,NA,Lucile Packard Children's Hospital at Stanford University Medical Center,NA,NA,1999,1997,NA
NCT00003216,2013-11-18,1999-11-01,NA,Interventional,Phase 3,518,Completed,"Fluorouracil, Gemcitabine, and Radiation Therapy in Treating Patients With Cancer of the Pancreas",1998-07-01T00:00:00Z,NA,2005-10-01T00:00:00Z,FALSE,Randomized,NA,NETWORK,TRUE,NA,NA,NA,Lucille P. Markey Cancer Center at University of Kentucky,NA,NA,1999,1998,NA
NCT00003425,2013-04-25,1999-11-01,NA,Interventional,Phase 1/Phase 2,25,Completed,Phase I/II Study of Escalating-Dose Melphalan w/Autologous SCS & Amifostine Cytoprotect,1997-12-01T00:00:00Z,NA,2002-07-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,TRUE,NA,NA,NA,Lucille P. Markey Cancer Center at University of Kentucky,NA,NA,1999,1997,NA
NCT00004062,2013-12-18,1999-12-10,NA,Interventional,Phase 1,NA,Completed,Azacitidine to Restore Thyroid Function in Patients With Persistent or Metastatic Thyroid Cancer,1999-07-01T00:00:00Z,2006-08-01T00:00:00Z,NA,FALSE,NA,NA,OTHER,FALSE,Lucille P. Markey Cancer Center at University of Kentucky,NA,NA,Lucille P. Markey Cancer Center at University of Kentucky,NA,NA,1999,1999,2006
NCT00005097,2018-04-03,2000-04-06,NA,Interventional,Phase 2,88,Terminated,Green Tea Extract in Treating Patients With Actinic Keratosis,1999-08-01T00:00:00Z,2002-08-01T00:00:00Z,2002-08-01T00:00:00Z,FALSE,Randomized,Double,OTHER,FALSE,NA,NA,NA,NA,NA,"University of California, Irvine",2000,1999,2002
NCT00006101,2018-04-11,2000-08-03,2018-02-07,Interventional,Phase 2,76,Completed,Eflornithine in Treating Patients At High Risk of Developing Prostate Cancer,1998-10-01T00:00:00Z,2012-12-01T00:00:00Z,2012-12-01T00:00:00Z,TRUE,Randomized,Double,OTHER,FALSE,NA,NA,NA,NA,NA,"University of California, Irvine",2000,1998,2012
NCT00006280,2010-03-01,2000-09-11,NA,Interventional,Phase 2,98,Completed,A Study of the Safety and Efficacy of Tobramycin for Inhalation in Young Children With Cystic Fibrosis,2000-02-01T00:00:00Z,2002-02-01T00:00:00Z,NA,FALSE,Randomized,Double,NIH,TRUE,NA,Stanford University/Lucille Packard Children's Health Services at Stanford,NA,NA,NA,NA,2000,2000,2002
NCT00006366,2020-10-21,2000-10-04,NA,Interventional,Phase 2,NA,Completed,Radiation Therapy Plus Chemotherapy Followed by Surgery in Treating Patients With Locally Advanced Cancer of the Rectum,2001-02-01T00:00:00Z,NA,2003-12-01T00:00:00Z,FALSE,Randomized,NA,NETWORK,TRUE,NA,NA,NA,Lucille P. Markey Cancer Center at University of Kentucky,NA,NA,2000,2001,NA
NCT00006497,2021-01-27,2000-11-16,NA,Observational,NA,0,Withdrawn,Long-Term Effects of Subclinical CAD on Cardiac Function,2000-09-01T00:00:00Z,2008-08-01T00:00:00Z,2008-08-01T00:00:00Z,FALSE,NA,NA,OTHER,TRUE,"University of California, Irvine",NA,NA,NA,NA,NA,2000,2000,2008
NCT00006916,2020-10-21,2000-12-06,2013-06-12,Interventional,Phase 2,19,Terminated,Radiation Therapy Followed by Bleomycin in Treating Adult Patients With Newly Diagnosed Supratentorial Glioblastoma Multiforme,2001-06-01T00:00:00Z,2005-12-01T00:00:00Z,2005-12-01T00:00:00Z,TRUE,NA,None (Open Label),NETWORK,TRUE,NA,Lucille P. Markey Cancer Center at University of Kentucky,NA,NA,NA,NA,2000,2001,2005
