nct_id,last_update_submitted_date,registration_date,summary_results_date,study_type,phase,enrollment,recruitment_status,title,start_date,completion_date,primary_completion_date,has_summary_results,allocation,masking,main_sponsor,is_multicentric,ucla_lead_sponsor,ucla_principal_investigator,ucla_study_chair,ucla_study_director,ucla_unspecified_official,ucla_responsible_party,registration_year,start_year,completion_year
NCT00000205,2016-07-07,1999-09-20,NA,Interventional,Phase 3,0,Completed,Buprenorphine Maintenance Protocol - 1,1990-10-01T00:00:00Z,1993-09-01T00:00:00Z,1993-03-01T00:00:00Z,FALSE,NA,Double,OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,NA,NA,1999,1990,1993
NCT00000206,2016-11-03,1999-09-20,NA,Interventional,Phase 2,0,Completed,Clinical Rescue Protocol - 2,1991-04-01T00:00:00Z,NA,2005-08-01T00:00:00Z,FALSE,NA,Double,OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,NA,NA,1999,1991,NA
NCT00000207,2016-07-07,1999-09-20,NA,Interventional,Phase 3,0,Completed,Multicenter Clinical Trial of Buprenorphine - 3,1992-05-01T00:00:00Z,NA,1997-04-01T00:00:00Z,FALSE,Randomized,Double,OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,NA,NA,1999,1992,NA
NCT00000299,2016-01-27,1999-09-20,NA,Interventional,Phase 2,12,Completed,Rapid Opiate Detoxification and Naltrexone Induction Using Buprenorphine - 2,2008-10-01T00:00:00Z,2009-11-01T00:00:00Z,2009-11-01T00:00:00Z,FALSE,Randomized,Single,OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,NA,"University of California, Los Angeles",1999,2008,2009
NCT00000300,2017-10-31,1999-09-20,NA,Interventional,Phase 4,0,Completed,Feasibility Study of Take-Home LAAM Medication - 3,1995-03-01T00:00:00Z,NA,NA,FALSE,Randomized,NA,OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,NA,"University of California, Los Angeles",1999,1995,NA
NCT00000301,2016-07-07,1999-09-20,NA,Interventional,Phase 2,0,Completed,Rapid Evaluation of Amantadine for Treatment of Cocaine Abuse/Dependence - 4,1996-03-01T00:00:00Z,NA,1998-06-01T00:00:00Z,FALSE,Randomized,Double,OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,NA,NA,1999,1996,NA
NCT00000303,2016-07-07,1999-09-20,NA,Interventional,Phase 2,0,Completed,Rapid Evaluation of Baclofen for Treatment of Cocaine Abuse/Dependence - 6,1997-10-01T00:00:00Z,NA,1999-05-01T00:00:00Z,FALSE,Randomized,Double,OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,NA,NA,1999,1997,NA
NCT00003225,2020-07-30,1999-11-01,NA,Interventional,Phase 1/Phase 2,23,Completed,Amifostine Plus Irinotecan in Treating Patients With Metastatic Colorectal Cancer,1997-07-01T00:00:00Z,2001-06-01T00:00:00Z,2000-03-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,TRUE,NA,NA,NA,NA,NA,UCLA,1999,1997,2001
NCT00003963,2020-07-30,1999-11-01,NA,Interventional,Phase 2,14,Completed,Chemotherapy and Monoclonal Antibody Therapy in Treating Patients With B-cell Non-Hodgkin's Lymphoma That Has Relapsed Following Peripheral Stem Cell Transplantation,1999-05-01T00:00:00Z,2005-02-01T00:00:00Z,2003-09-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,NA,NA,NA,NA,NA,UCLA,1999,1999,2005
NCT00004313,2005-06-23,1999-10-18,NA,Interventional,Phase 3,40,Completed,"Phase III Randomized, Double-Blind, Placebo-Controlled Study of Dehydroepiandrosterone Replacement for Primary Adrenal Insufficiency",1995-08-01T00:00:00Z,NA,NA,FALSE,Randomized,Double,NIH,TRUE,NA,NA,"University of California, Los Angeles",NA,NA,NA,1999,1995,NA
