nct_id,last_update_submitted_date,registration_date,summary_results_date,study_type,phase,enrollment,recruitment_status,title,start_date,completion_date,primary_completion_date,has_summary_results,allocation,masking,main_sponsor,is_multicentric,ucla_principal_investigator,ucla_study_chair,ucla_study_director,ucla_unspecified_official,registration_year,start_year,completion_year,primary_completion_year
NCT00114530,2021-05-12,2005-06-15,2017-05-05,Interventional,Phase 2/Phase 3,75,Completed,Scleroderma: Cyclophosphamide or Transplantation,2005-06-01T00:00:00Z,2016-04-01T00:00:00Z,2016-04-01T00:00:00Z,TRUE,Randomized,None (Open Label),NIH,TRUE,NA,"University of California, Los Angeles Rheumatology",NA,NA,2005,2005,2016,2016
NCT00329706,2017-05-01,2006-05-24,NA,Interventional,Not Applicable,710,Completed,Metabolic Cerebral Imaging in Incipient Dementia (MCI-ID),2006-06-01T00:00:00Z,2017-01-01T00:00:00Z,2017-01-01T00:00:00Z,FALSE,Randomized,Single,OTHER,TRUE,"University of California, Los Angeles",NA,NA,NA,2006,2006,2017,2017
NCT00352599,2016-11-18,2006-07-13,NA,Interventional,Phase 1,44,Completed,Trial to Evaluate the Safety of Lovastatin in Individuals With Neurofibromatosis Type I (NF1),2009-09-01T00:00:00Z,2014-03-01T00:00:00Z,2014-03-01T00:00:00Z,FALSE,Randomized,Quadruple,OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2006,2009,2014,2014
NCT00355056,2020-07-14,2006-07-19,2016-05-02,Interventional,Not Applicable,230,Completed,PREMIUM Migraine Trial,2006-01-01T00:00:00Z,2015-12-01T00:00:00Z,2015-02-01T00:00:00Z,TRUE,Randomized,Triple,INDUSTRY,TRUE,"University of California, Los Angeles",NA,NA,NA,2006,2006,2015,2015
NCT00451204,2016-05-10,2007-03-22,2016-01-20,Interventional,Phase 2,158,Completed,A Combination Trial of Copaxone Plus Estriol in Relapsing Remitting Multiple Sclerosis (RRMS),2007-03-01T00:00:00Z,2014-07-01T00:00:00Z,2014-07-01T00:00:00Z,TRUE,Randomized,Triple,OTHER,TRUE,"University of California, Los Angeles (UCLA), Los Angeles, CA",NA,"University of California, Los Angeles (UCLA), Los Angeles, CA",NA,2007,2007,2014,2014
NCT00614744,2021-02-15,2008-02-11,2017-06-30,Interventional,Not Applicable,168,Completed,Late Hypothermia for Hypoxic-Ischemic Encephalopathy,2008-04-01T00:00:00Z,2016-06-01T00:00:00Z,2016-06-01T00:00:00Z,TRUE,Randomized,None (Open Label),NETWORK,TRUE,"University of California, Los Angeles",NA,NA,NA,2008,2008,2016,2016
NCT00748761,2020-03-23,2008-09-08,NA,Interventional,Not Applicable,119,Completed,Cognitive Behavioral Therapy for Pediatric Obsessive-Compulsive Disorder,2008-06-01T00:00:00Z,2016-12-31T00:00:00Z,2016-12-31T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,UCLA Child Psychiatry,NA,NA,NA,2008,2008,2016,2016
NCT00777049,2016-07-14,2008-10-21,2016-05-26,Interventional,Phase 2,54,Completed,Study of Panobinostat Monotherapy in Women With HER2-negative Locally Recurrent or Metastatic Breast Cancer,2009-02-01T00:00:00Z,2015-04-01T00:00:00Z,2015-04-01T00:00:00Z,TRUE,Non-Randomized,None (Open Label),OTHER,FALSE,NA,"University of California, Los Angeles",NA,NA,2008,2009,2015,2015
NCT00794508,2021-04-21,2008-11-19,2016-03-09,Interventional,Phase 2,10,Completed,MND-ADA Transduction of CD34+ Cells From Children With ADA-SCID,2008-11-01T00:00:00Z,2015-01-01T00:00:00Z,2014-12-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2008,2008,2015,2014
NCT00812708,2021-12-07,2008-12-19,2018-06-01,Interventional,Not Applicable,72,Completed,Clinical Evaluation of Morcher Artificial Iris Diaphragms,2003-04-09T00:00:00Z,2021-12-07T00:00:00Z,2014-06-20T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2008,2003,2021,2014
NCT00852358,2016-01-22,2009-02-25,NA,Interventional,Not Applicable,9,Completed,A Study of Intrathecal Enzyme Therapy for Cognitive Decline in MPS I,2009-06-01T00:00:00Z,2015-04-01T00:00:00Z,2015-04-01T00:00:00Z,FALSE,Randomized,None (Open Label),INDIV,TRUE,Los Angeles Biomedical Institute at Harbor-UCLA,NA,NA,NA,2009,2009,2015,2015
NCT00883129,2017-02-06,2009-04-16,2016-11-06,Interventional,Phase 2,142,Completed,Comparison of Therapeutic Regimens for Scleroderma Interstitial Lung Disease (The Scleroderma Lung Study II),2009-09-01T00:00:00Z,2015-11-01T00:00:00Z,2015-01-01T00:00:00Z,TRUE,Randomized,Quadruple,OTHER,TRUE,"University of California, Los Angeles; UCLA School of Public Health",NA,NA,NA,2009,2009,2015,2015
NCT00926146,2017-01-26,2009-06-22,NA,Interventional,Not Applicable,451,Completed,Hepatitis B Virus (HBV) Prevention for Homeless at Risk for HBV/Hepatitis C Virus (HCV)/HIV,2009-07-01T00:00:00Z,2015-02-01T00:00:00Z,2014-01-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,2009,2009,2015,2014
NCT00955968,2021-11-12,2009-08-07,2017-08-30,Interventional,Phase 4,1653,Completed,IMPAACT 1077HS: Examining Benefits of HAART Continuation in Postpartum Women,2010-01-01T00:00:00Z,2016-08-31T00:00:00Z,2016-08-31T00:00:00Z,TRUE,Randomized,None (Open Label),NETWORK,TRUE,NA,"University of California, Los Angeles",NA,NA,2009,2010,2016,2016
NCT00996528,2021-10-06,2009-10-15,NA,Interventional,Phase 3,1239,"Active, not recruiting",Neighborhood Alcohol & HIV Prevention in South African Townships (Philani),2007-09-01T00:00:00Z,2025-09-01T00:00:00Z,2015-09-01T00:00:00Z,FALSE,Randomized,Single,OTHER,FALSE,"Department of Psychiatry & Biobehavioral Sciences, Semel Institute, UCLA",NA,NA,NA,2009,2007,2025,2015
NCT00998010,2020-08-26,2009-10-17,2020-06-19,Interventional,Phase 2,24,Completed,"Bortezomib, Temozolomide, and Regional Radiation Therapy in Treating Patients With Newly Diagnosed Glioblastoma Multiforme or Gliosarcoma",2011-10-03T00:00:00Z,2018-04-20T00:00:00Z,2016-03-29T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,Ronald Reagan UCLA Medical Center,NA,NA,NA,2009,2011,2018,2016
NCT01002222,2015-03-01,2009-10-25,NA,Interventional,Phase 3,200,Completed,Open-Label Extension Study of MCS-2 in the Treatment of Lower Urinary Tract Symptoms (MCS-2-US-c),2011-01-01T00:00:00Z,2014-02-01T00:00:00Z,2014-02-01T00:00:00Z,FALSE,Non-Randomized,None (Open Label),INDUSTRY,FALSE,"University of California, Los Angeles",NA,NA,NA,2009,2011,2014,2014
