nct_id,last_update_submitted_date,registration_date,summary_results_date,study_type,phase,enrollment,recruitment_status,title,start_date,completion_date,primary_completion_date,has_summary_results,allocation,masking,main_sponsor,is_multicentric,ucla_lead_sponsor,ucla_principal_investigator,ucla_study_chair,ucla_study_director,ucla_unspecified_official,ucla_responsible_party,registration_year,start_year,completion_year
NCT00000205,2016-07-07,1999-09-20,NA,Interventional,Phase 3,0,Completed,Buprenorphine Maintenance Protocol - 1,1990-10-01T00:00:00Z,1993-09-01T00:00:00Z,1993-03-01T00:00:00Z,FALSE,NA,Double,OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,NA,NA,1999,1990,1993
NCT00000299,2016-01-27,1999-09-20,NA,Interventional,Phase 2,12,Completed,Rapid Opiate Detoxification and Naltrexone Induction Using Buprenorphine - 2,2008-10-01T00:00:00Z,2009-11-01T00:00:00Z,2009-11-01T00:00:00Z,FALSE,Randomized,Single,OTHER,FALSE,"University of California, Los Angeles",NA,NA,NA,NA,"University of California, Los Angeles",1999,2008,2009
NCT00003225,2020-07-30,1999-11-01,NA,Interventional,Phase 1/Phase 2,23,Completed,Amifostine Plus Irinotecan in Treating Patients With Metastatic Colorectal Cancer,1997-07-01T00:00:00Z,2001-06-01T00:00:00Z,2000-03-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,TRUE,NA,NA,NA,NA,NA,UCLA,1999,1997,2001
NCT00003963,2020-07-30,1999-11-01,NA,Interventional,Phase 2,14,Completed,Chemotherapy and Monoclonal Antibody Therapy in Treating Patients With B-cell Non-Hodgkin's Lymphoma That Has Relapsed Following Peripheral Stem Cell Transplantation,1999-05-01T00:00:00Z,2005-02-01T00:00:00Z,2003-09-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,NA,NA,NA,NA,NA,UCLA,1999,1999,2005
NCT00004449,2015-05-26,1999-10-18,NA,Interventional,Not Applicable,102,Completed,Randomized Study of Intensive One-on-one Behavioral Treatment for Preschool Aged Children With Autism,1998-05-01T00:00:00Z,2006-04-01T00:00:00Z,2004-09-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,TRUE,"University of California, Los Angeles",NA,NA,NA,NA,NA,1999,1998,2006
NCT00004805,2005-06-23,2000-02-24,NA,Interventional,Not Applicable,500,Completed,Study of the Effect of Four Methods of Cardiopulmonary Resuscitation Instruction on Psychosocial Response of Parents With Infants at Risk of Sudden Death,1991-09-01T00:00:00Z,1997-08-01T00:00:00Z,NA,FALSE,NA,NA,NIH,TRUE,NA,NA,"University of California, Los Angeles",NA,NA,NA,2000,1991,1997
NCT00004889,2020-07-30,2000-03-07,NA,Interventional,Phase 2,8,Completed,Rituximab in Treating Patients With Waldenstrom's Macroglobulinemia,1999-12-01T00:00:00Z,2005-07-01T00:00:00Z,2002-01-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,TRUE,NA,NA,NA,NA,NA,UCLA,2000,1999,2005
NCT00005014,2014-04-16,2000-03-31,NA,Interventional,Phase 3,101,Completed,Treatment of Autism in Children and Adolescents,1997-10-01T00:00:00Z,2001-02-01T00:00:00Z,NA,FALSE,Randomized,Double,NIH,TRUE,NA,"University of California, Los Angeles",NA,NA,NA,NA,2000,1997,2001
NCT00005042,2014-08-28,2000-04-06,NA,Interventional,Phase 2,NA,Completed,SU5416 in Treating Patients With AIDS-Related Kaposi's Sarcoma,2000-01-01T00:00:00Z,2000-11-01T00:00:00Z,2000-11-01T00:00:00Z,FALSE,NA,NA,NETWORK,TRUE,NA,NA,UCLA Clinical AIDS Research and Education (CARE) Center,NA,NA,NA,2000,2000,2000
NCT00005629,2020-07-30,2000-05-02,NA,Interventional,Phase 1/Phase 2,6,Completed,Vaccine Therapy in Treating Patients With Liver Cancer,1999-07-01T00:00:00Z,2002-06-01T00:00:00Z,2002-05-01T00:00:00Z,FALSE,Non-Randomized,None (Open Label),OTHER,FALSE,NA,NA,NA,NA,NA,UCLA,2000,1999,2002
