nct_id,last_update_submitted_date,registration_date,summary_results_date,study_type,phase,enrollment,recruitment_status,title,start_date,completion_date,primary_completion_date,has_summary_results,allocation,masking,main_sponsor,is_multicentric,ucsd_principal_investigator,ucsd_study_chair,ucsd_study_director,ucsd_unspecified_official,registration_year,start_year,completion_year,primary_completion_year
NCT00004125,2010-01-28,1999-12-10,NA,Interventional,Phase 3,NA,Completed,Combination Chemotherapy in Treating Women With Stage II or Stage IIIA Breast Cancer That Has Spread to the Lymph Nodes,1999-10-01T00:00:00Z,NA,2007-05-01T00:00:00Z,FALSE,Randomized,NA,NETWORK,TRUE,NA,"University of California, San Diego",NA,NA,1999,1999,NA,2007
NCT00053599,2009-07-24,2003-02-03,NA,Interventional,Phase 3,400,Completed,Cholesterol Lowering Agent to Slow Progression (CLASP) of Alzheimer's Disease Study,2002-12-01T00:00:00Z,2007-10-01T00:00:00Z,2007-10-01T00:00:00Z,FALSE,Randomized,Double,NIH,TRUE,"University of California, San Diego",NA,NA,NA,2003,2002,2007,2007
NCT00058071,2013-07-08,2003-04-07,NA,Interventional,Phase 3,100,Completed,Amifostine in Treating Peripheral Neuropathy in Patients Who Have Received Chemotherapy for Cancer,2003-03-01T00:00:00Z,NA,2007-12-01T00:00:00Z,FALSE,Randomized,NA,NETWORK,TRUE,NA,"University of California, San Diego",NA,NA,2003,2003,NA,2007
NCT00060372,2013-03-26,2003-05-06,NA,Interventional,Phase 1,21,Completed,Ipilimumab After Allogeneic Stem Cell Transplant in Treating Patients With Persistent or Progressive Cancer,2003-04-01T00:00:00Z,NA,2008-04-01T00:00:00Z,FALSE,NA,None (Open Label),NIH,TRUE,"University of California, San Diego",NA,NA,NA,2003,2003,NA,2008
NCT00063583,2009-11-03,2003-06-30,NA,Interventional,Phase 1/Phase 2,77,Completed,Pirfenidone: A New Drug to Treat Kidney Disease in Patients With Diabetes,2003-06-01T00:00:00Z,2009-03-01T00:00:00Z,2007-11-01T00:00:00Z,FALSE,Randomized,Triple,INDIV,TRUE,UCSD,NA,NA,NA,2003,2003,2009,2007
NCT00074269,2018-04-30,2003-12-10,2014-05-29,Interventional,Phase 2,5,Terminated,"Allogeneic Stem Cell Transplant After ATG, High-Dose Melphalan, and Fludarabine for Patients With Metastatic Breast Cancer",2003-07-01T00:00:00Z,2008-03-01T00:00:00Z,2008-03-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,"University of California, San Diego",NA,NA,NA,2003,2003,2008,2008
NCT00074737,2014-09-16,2003-12-19,NA,Interventional,Phase 2,53,Completed,Dosing Study of Ara-C/EL625/Idarubicin in Refractory and Relapsed AML,2004-04-01T00:00:00Z,2007-05-01T00:00:00Z,2007-05-01T00:00:00Z,FALSE,Randomized,None (Open Label),INDUSTRY,TRUE,"University of California, San Diego",NA,NA,NA,2003,2004,2007,2007
NCT00106964,2017-02-27,2005-04-01,2012-10-26,Interventional,Phase 4,371,Completed,Comparison of Three Hepatitis B Vaccination Regimens in HIV-Positive Youth,2004-01-01T00:00:00Z,2009-06-01T00:00:00Z,2008-01-01T00:00:00Z,TRUE,Randomized,None (Open Label),OTHER,TRUE,"University of California, San Diego",NA,NA,NA,2005,2004,2009,2008
NCT00117403,2009-04-01,2005-06-30,NA,Interventional,Phase 1,75,Completed,Anti-Oxidant Treatment of Alzheimer's Disease,2006-01-01T00:00:00Z,2007-09-01T00:00:00Z,2007-09-01T00:00:00Z,FALSE,Randomized,Double,NIH,TRUE,"University of California, San Diego",NA,NA,NA,2005,2006,2007,2007
NCT00135889,2009-10-07,2005-08-24,NA,Interventional,Not Applicable,50,Completed,Continuous Femoral Nerve Block Following Total Knee Replacement,2005-01-01T00:00:00Z,2008-07-01T00:00:00Z,2008-07-01T00:00:00Z,FALSE,Randomized,Double,NIH,TRUE,"University of California, San Diego",NA,NA,NA,2005,2005,2008,2008
