nct_id,last_update_submitted_date,registration_date,summary_results_date,study_type,phase,enrollment,recruitment_status,title,start_date,completion_date,primary_completion_date,has_summary_results,allocation,masking,main_sponsor,is_multicentric,ucsd_lead_sponsor,ucsd_principal_investigator,ucsd_study_chair,ucsd_study_director,ucsd_unspecified_official,ucsd_responsible_party,registration_year,start_year,completion_year
NCT00000177,2009-12-10,1999-10-29,NA,Interventional,Phase 3,120,Completed,Estrogen Hormone Protocol,1995-10-01T00:00:00Z,1999-01-01T00:00:00Z,1999-01-01T00:00:00Z,FALSE,Randomized,Double,NIH,TRUE,NA,"University of California, San Diego",NA,NA,NA,NA,1999,1995,1999
NCT00000180,2009-12-10,1999-10-29,NA,Interventional,Phase 1,NA,Completed,AIT-082 Phase 1B Study,NA,2005-06-01T00:00:00Z,2005-06-01T00:00:00Z,FALSE,Randomized,Double,NIH,TRUE,NA,"University of California, San Diego",NA,NA,NA,NA,1999,NA,2005
NCT00000435,2007-07-30,2000-01-21,NA,Interventional,Phase 2,160,Completed,dnaJ Peptide for Relieving Rheumatoid Arthritis,1999-09-01T00:00:00Z,2004-09-01T00:00:00Z,NA,FALSE,Randomized,Double,NIH,TRUE,NA,"University of California, San Diego",NA,NA,NA,NA,2000,1999,2004
NCT00000488,2016-04-13,1999-10-27,NA,Interventional,Phase 3,NA,Completed,Lipid Research Clinics Coronary Primary Prevention Trial (CPPT),1973-06-01T00:00:00Z,1989-10-01T00:00:00Z,NA,FALSE,Randomized,Double,NIH,TRUE,NA,NA,NA,NA,"University of California, San Diego",NA,1999,1973,1989
NCT00000570,2013-12-12,1999-10-27,NA,Interventional,Phase 3,NA,Completed,Human Surfactant Treatment of Respiratory Distress Syndrome Bicenter Trial,1986-01-01T00:00:00Z,1990-06-01T00:00:00Z,NA,FALSE,Randomized,NA,NIH,TRUE,NA,NA,NA,NA,"University of California, San Diego",NA,1999,1986,1990
NCT00000575,2014-02-20,1999-10-27,2013-10-16,Interventional,Phase 3,1041,Completed,"Childhood Asthma Management Program (CAMP) Phases I (Trial), II (CAMPCS), III (CAMPCS/2), and IV (CAMPCS/3)",1991-09-01T00:00:00Z,2012-03-01T00:00:00Z,1999-10-01T00:00:00Z,TRUE,Randomized,Triple,OTHER,TRUE,NA,"University of California, San Diego",NA,NA,NA,NA,1999,1991,2012
NCT00000613,2016-02-26,1999-10-27,NA,Interventional,Phase 2,NA,Completed,CVD Risk and Health in Postmenopausal Phytoestrogen Users,1997-04-01T00:00:00Z,2004-12-01T00:00:00Z,NA,FALSE,Randomized,Double,NIH,TRUE,NA,NA,NA,NA,"University of California, San Diego",NA,1999,1997,2004
NCT00004493,2015-03-24,1999-10-18,NA,Interventional,Phase 2,75,Completed,Phase II Pilot Randomized Study of Sodium Dichloroacetate in Patients With Congenital Lactic Acidemia,1998-09-01T00:00:00Z,2003-09-01T00:00:00Z,NA,FALSE,NA,NA,OTHER,FALSE,"University of California, San Diego",NA,"University of California, San Diego",NA,NA,NA,1999,1998,2003
NCT00004731,2005-06-23,2000-02-25,NA,Interventional,Phase 2,NA,Completed,Parkinson's Disease Treatment With Coenzyme Q10,1998-09-01T00:00:00Z,2003-10-01T00:00:00Z,NA,FALSE,Randomized,Double,NIH,FALSE,NA,"University of California, San Diego",NA,NA,NA,NA,2000,1998,2003
NCT00005772,2019-03-20,2000-06-01,NA,Interventional,Phase 3,208,Completed,Whole-Body Cooling for Birth Asphyxia in Term Infants,1999-10-01T00:00:00Z,2010-07-01T00:00:00Z,2003-05-01T00:00:00Z,FALSE,Randomized,None (Open Label),NETWORK,TRUE,NA,"University of California, San Diego",NA,NA,NA,NA,2000,1999,2010
NCT00005775,2015-06-03,2000-06-01,NA,Interventional,Phase 3,1433,Completed,Glutamine Supplementation to Prevent Death or Infection in Extremely Premature Infants,1999-07-01T00:00:00Z,2001-08-01T00:00:00Z,2000-12-01T00:00:00Z,FALSE,Randomized,Quadruple,NETWORK,TRUE,NA,"University of California, San Diego",NA,NA,NA,NA,2000,1999,2001
NCT00016523,2017-09-22,2001-05-14,NA,Interventional,Phase 3,420,Terminated,Inhaled Nitric Oxide for Preterm Infants With Severe Respiratory Failure,2001-01-01T00:00:00Z,2006-05-01T00:00:00Z,2003-09-01T00:00:00Z,FALSE,Randomized,Quadruple,NETWORK,TRUE,NA,"University of California, San Diego",NA,NA,NA,NA,2001,2001,2006
NCT00017940,2009-12-10,2001-06-20,NA,Interventional,Phase 1,8,Completed,Gene Therapy for Alzheimer's Disease Clinical Trial,NA,2003-11-01T00:00:00Z,2003-11-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,NA,"University of California, San Diego",NA,NA,NA,NA,2001,NA,2003
NCT00021814,2018-09-26,2001-08-04,NA,Interventional,Phase 3,3407,Completed,Medical Therapy of Prostatic Symptoms,1995-12-01T00:00:00Z,2001-11-30T00:00:00Z,2001-11-30T00:00:00Z,FALSE,Randomized,Quadruple,NIH,TRUE,NA,Clinic 09 - University of California San Diego,NA,NA,NA,NA,2001,1995,2001
NCT00023530,2016-02-17,2001-09-07,NA,Interventional,Not Applicable,NA,Completed,Blood and Marrow Transplant Clinical Research Network,2001-09-01T00:00:00Z,2006-08-01T00:00:00Z,NA,FALSE,Randomized,Double,NIH,TRUE,NA,NA,NA,NA,"University of California, San Diego",NA,2001,2001,2006
