nct_id,last_update_submitted_date,registration_date,summary_results_date,study_type,phase,enrollment,recruitment_status,title,start_date,completion_date,primary_completion_date,has_summary_results,allocation,masking,main_sponsor,is_multicentric,ucsd_lead_sponsor,ucsd_principal_investigator,ucsd_study_chair,ucsd_study_director,ucsd_unspecified_official,ucsd_responsible_party,registration_year,start_year,completion_year
NCT00000177,2009-12-10,1999-10-29,NA,Interventional,Phase 3,120,Completed,Estrogen Hormone Protocol,1995-10-01T00:00:00Z,1999-01-01T00:00:00Z,1999-01-01T00:00:00Z,FALSE,Randomized,Double,NIH,TRUE,NA,"University of California, San Diego",NA,NA,NA,NA,1999,1995,1999
NCT00000178,2005-06-23,1999-10-29,NA,Interventional,Phase 3,NA,Completed,Multicenter Trial of Prednisone in Alzheimer's Disease,NA,NA,NA,FALSE,Randomized,Double,NIH,TRUE,NA,"University of California, San Diego",NA,NA,NA,NA,1999,NA,NA
NCT00000179,2005-06-23,1999-10-29,NA,Interventional,Phase 3,NA,Completed,Agitation in Alzheimer's Disease,NA,NA,NA,FALSE,Randomized,Double,NIH,TRUE,NA,"University of California, San Diego",NA,NA,NA,NA,1999,NA,NA
NCT00000180,2009-12-10,1999-10-29,NA,Interventional,Phase 1,NA,Completed,AIT-082 Phase 1B Study,NA,2005-06-01T00:00:00Z,2005-06-01T00:00:00Z,FALSE,Randomized,Double,NIH,TRUE,NA,"University of California, San Diego",NA,NA,NA,NA,1999,NA,2005
NCT00000435,2007-07-30,2000-01-21,NA,Interventional,Phase 2,160,Completed,dnaJ Peptide for Relieving Rheumatoid Arthritis,1999-09-01T00:00:00Z,2004-09-01T00:00:00Z,NA,FALSE,Randomized,Double,NIH,TRUE,NA,"University of California, San Diego",NA,NA,NA,NA,2000,1999,2004
NCT00000488,2016-04-13,1999-10-27,NA,Interventional,Phase 3,NA,Completed,Lipid Research Clinics Coronary Primary Prevention Trial (CPPT),1973-06-01T00:00:00Z,1989-10-01T00:00:00Z,NA,FALSE,Randomized,Double,NIH,TRUE,NA,NA,NA,NA,"University of California, San Diego",NA,1999,1973,1989
NCT00000564,2005-06-23,1999-10-27,NA,Interventional,Phase 3,NA,Completed,Nocturnal Oxygen Therapy,1976-07-01T00:00:00Z,NA,NA,FALSE,Randomized,NA,NIH,TRUE,NA,NA,NA,NA,"University of California, San Diego",NA,1999,1976,NA
NCT00000570,2013-12-12,1999-10-27,NA,Interventional,Phase 3,NA,Completed,Human Surfactant Treatment of Respiratory Distress Syndrome Bicenter Trial,1986-01-01T00:00:00Z,1990-06-01T00:00:00Z,NA,FALSE,Randomized,NA,NIH,TRUE,NA,NA,NA,NA,"University of California, San Diego",NA,1999,1986,1990
NCT00000575,2014-02-20,1999-10-27,2013-10-16,Interventional,Phase 3,1041,Completed,"Childhood Asthma Management Program (CAMP) Phases I (Trial), II (CAMPCS), III (CAMPCS/2), and IV (CAMPCS/3)",1991-09-01T00:00:00Z,2012-03-01T00:00:00Z,1999-10-01T00:00:00Z,TRUE,Randomized,Triple,OTHER,TRUE,NA,"University of California, San Diego",NA,NA,NA,NA,1999,1991,2012
NCT00000577,2017-01-12,1999-10-27,NA,Interventional,Phase 3,0,Withdrawn,Asthma Clinical Research Network (ACRN),1993-09-01T00:00:00Z,2008-07-01T00:00:00Z,NA,FALSE,Randomized,Double,OTHER,TRUE,NA,NA,"University of California, San Diego",NA,NA,NA,1999,1993,2008
