nct_id,last_update_submitted_date,registration_date,summary_results_date,study_type,phase,enrollment,recruitment_status,title,start_date,completion_date,primary_completion_date,has_summary_results,allocation,masking,main_sponsor,is_multicentric,ucsf_lead_sponsor,ucsf_principal_investigator,ucsf_study_chair,ucsf_study_director,ucsf_unspecified_official,ucsf_responsible_party,registration_year,start_year,completion_year
NCT00000425,2013-04-30,1999-11-03,NA,Interventional,Phase 3,900,Completed,Toward Better Outcomes in Osteoarthritis,1996-07-01T00:00:00Z,2001-04-01T00:00:00Z,NA,FALSE,Randomized,None (Open Label),OTHER,FALSE,NA,NA,NA,"UCSF, Division of Rheumatology, SFGH",NA,NA,1999,1996,2001
NCT00000525,2013-09-18,1999-10-27,NA,Interventional,Phase 3,233,Completed,"Diuretics, Hypertension, and Arrhythmias Clinical Trial",1986-07-01T00:00:00Z,NA,1989-09-01T00:00:00Z,FALSE,Randomized,Double,OTHER,TRUE,"University of California, San Francisco",NA,NA,NA,NA,NA,1999,1986,NA
NCT00000548,2015-03-03,1999-10-27,NA,Interventional,Phase 3,NA,Completed,Inhaled NO in Prevention of Chronic Lung Disease,2000-03-01T00:00:00Z,2006-02-01T00:00:00Z,NA,FALSE,Randomized,Double,OTHER,TRUE,"University of California, San Francisco",NA,NA,NA,NA,NA,1999,2000,2006
NCT00000577,2017-01-12,1999-10-27,NA,Interventional,Phase 3,0,Withdrawn,Asthma Clinical Research Network (ACRN),1993-09-01T00:00:00Z,2008-07-01T00:00:00Z,NA,FALSE,Randomized,Double,OTHER,TRUE,NA,NA,"University of California, San Francisco",NA,NA,NA,1999,1993,2008
NCT00000579,2016-03-22,1999-10-27,NA,Interventional,Phase 3,NA,Completed,Acute Respiratory Distress Syndrome Clinical Network (ARDSNet),1994-09-01T00:00:00Z,2004-07-01T00:00:00Z,NA,FALSE,NA,NA,NIH,TRUE,NA,"University of California, San Francisco",NA,NA,NA,NA,1999,1994,2004
NCT00000623,2014-03-03,1999-10-27,NA,Observational,NA,1000,Completed,Thalassemia (Cooley's Anemia) Clinical Research Network (TCRN),2000-07-01T00:00:00Z,2006-07-01T00:00:00Z,NA,FALSE,NA,NA,OTHER,TRUE,NA,UCSF Benioff Children's Hospital Oakland,NA,NA,NA,NA,1999,2000,2006
NCT00000774,2021-10-27,1999-11-02,NA,Interventional,Phase 1,156,Completed,A Phase I Study to Evaluate the Safety and Immunogenicity of Recombinant HIV-1 Envelope Antigen in Children Born to HIV-Infected Mothers,NA,1999-01-01T00:00:00Z,NA,FALSE,Randomized,Double,NIH,TRUE,NA,NA,UCSF Moffit Hospital,NA,NA,NA,1999,NA,1999
NCT00002031,2005-06-23,1999-11-02,NA,Interventional,Not Applicable,NA,Completed,"Evaluation of the Epidermal Langerhans Cell Population in AIDS / ARC Patients by the Topical Application of a Potent Contact Allergen (1-Chloro-2,4-Dinitro-Chlorobenzene) (DNCB)",NA,NA,NA,FALSE,NA,NA,OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,NA,NA,1999,NA,NA
NCT00002058,2005-06-23,1999-11-02,NA,Interventional,Not Applicable,NA,Completed,A Randomized Controlled Prophylactic Study of Clofazimine To Prevent Mycobacterium Avium Complex Infection in HIV Disease,NA,NA,NA,FALSE,NA,NA,OTHER,TRUE,"University of California, San Francisco",NA,NA,NA,NA,NA,1999,NA,NA
NCT00002262,2005-06-23,1999-11-02,NA,Interventional,Phase 1,NA,Completed,A Phase I/II Study of Intralesional Recombinant Tumor Necrosis Factor in Patients With AIDS-Related Cutaneous Kaposi's Sarcoma,NA,NA,NA,FALSE,NA,NA,OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,NA,NA,1999,NA,NA
NCT00002596,2013-06-25,1999-11-01,NA,Interventional,Phase 3,270,Completed,Combination Chemotherapy With or Without Bone Marrow or Stem Cell Transplantation in Treating Men With Untreated Germ Cell Tumors,1994-09-01T00:00:00Z,2006-07-01T00:00:00Z,NA,FALSE,Randomized,NA,OTHER,TRUE,NA,NA,"University of California, San Francisco",NA,NA,NA,1999,1994,2006
