nct_id,last_update_submitted_date,registration_date,summary_results_date,study_type,phase,enrollment,recruitment_status,title,start_date,completion_date,primary_completion_date,has_summary_results,allocation,masking,main_sponsor,is_multicentric,ucsf_principal_investigator,ucsf_study_chair,ucsf_study_director,ucsf_unspecified_official,registration_year,start_year,completion_year,primary_completion_year
NCT00004259,2019-08-28,2000-01-28,2017-05-25,Interventional,Phase 3,230,Completed,Radiation Therapy Combined With Chemotherapy in Treating Patients With Anaplastic Astrocytoma or Mixed Gliomas,2000-06-01T00:00:00Z,2018-05-14T00:00:00Z,2015-02-01T00:00:00Z,TRUE,Randomized,None (Open Label),NETWORK,TRUE,NA,"University of California, San Francisco",NA,NA,2000,2000,2018,2015
NCT00221338,2020-08-25,2005-09-19,2019-02-05,Interventional,Phase 3,750,Completed,Clinical Trial of Gabapentin to Decrease Postoperative Delirium and Pain,2006-01-01T00:00:00Z,2014-07-01T00:00:00Z,2014-01-01T00:00:00Z,TRUE,Randomized,Quadruple,OTHER,FALSE,"University of California, San Francisco, CA, USA",NA,NA,NA,2005,2006,2014,2014
NCT00265850,2020-04-28,2005-12-14,2017-03-13,Interventional,Phase 3,2334,Completed,Cetuximab and/or Bevacizumab Combined With Combination Chemotherapy in Treating Patients With Metastatic Colorectal Cancer,2005-11-01T00:00:00Z,2018-01-01T00:00:00Z,2015-02-01T00:00:00Z,TRUE,Randomized,None (Open Label),OTHER,TRUE,NA,"University of California, San Francisco",NA,NA,2005,2005,2018,2015
NCT00313729,2019-01-22,2006-04-11,2018-12-08,Interventional,Phase 2,120,Completed,Temozolomide in Treating Patients With Low-Grade Glioma,1999-05-01T00:00:00Z,2017-06-12T00:00:00Z,2014-09-25T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,NA,"University of California, San Francisco",NA,NA,2006,1999,2017,2014
NCT00458393,2021-10-29,2007-04-06,2016-12-27,Interventional,Phase 3,2499,Completed,Emtricitabine/Tenofovir Disoproxil Fumarate for HIV Prevention in Men,2007-06-01T00:00:00Z,2014-02-01T00:00:00Z,2014-02-01T00:00:00Z,TRUE,Randomized,Double,NIH,TRUE,"J. David Gladstone Institutes, University of California San Francisco",NA,NA,NA,2007,2007,2014,2014
NCT00467220,2020-01-17,2007-04-26,NA,Interventional,Not Applicable,24,Completed,Effect of Daily Calorie or Alternate-day Calorie Reductions on Risk for Cardiovascular Disease and Cancer,2007-04-01T00:00:00Z,2015-12-17T00:00:00Z,2015-12-17T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,"University of California, Berkeley; University of California, San Francisco",NA,NA,NA,2007,2007,2015,2015
NCT00472095,2021-08-20,2007-05-09,NA,Interventional,Not Applicable,200,Completed,Fotonovela for Type 2 Diabetes Mellitus,2007-06-01T00:00:00Z,2016-01-29T00:00:00Z,2016-01-29T00:00:00Z,FALSE,Randomized,Single,OTHER,TRUE,"UCSF-Fresno Medical Education Program, Department of Family Medicine",NA,NA,NA,2007,2007,2016,2016
NCT00488982,2019-10-29,2007-06-18,2019-10-07,Interventional,Phase 2,125,Completed,Intermittent Chemotherapy With or Without Granulocyte-macrophage Colony-stimulating Factor (GM-CSF) for Metastatic Hormone Refractory Prostate Cancer (HRPC),2007-04-01T00:00:00Z,2014-05-01T00:00:00Z,2014-03-01T00:00:00Z,TRUE,Randomized,None (Open Label),OTHER,TRUE,"University of California, San Francisco",NA,NA,NA,2007,2007,2014,2014
NCT00501709,2020-04-30,2007-07-12,NA,Interventional,Phase 1/Phase 2,10,Completed,Prevention of Autoimmune Destruction and Rejection of Human Pancreatic Islets Following Transplantation for Insulin Dependent Diabetes Mellitus,2007-02-01T00:00:00Z,2016-12-01T00:00:00Z,2016-12-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2007,2007,2016,2016
NCT00632827,2020-04-14,2008-02-28,2020-03-30,Interventional,Phase 2,21,Terminated,Treatment of PTCL With Aggressive Induction Therapy Followed by Autologous SCT Using Denileukin Diftitox (Ontak),2008-07-01T00:00:00Z,2016-06-23T00:00:00Z,2014-06-23T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2008,2008,2016,2014
NCT00655239,2019-01-04,2008-04-07,NA,Interventional,Not Applicable,143,Completed,Effectiveness of Neuroadaptive Cognitive Training in Adolescents at Risk for Psychosis,2008-06-01T00:00:00Z,2016-05-01T00:00:00Z,2016-05-01T00:00:00Z,FALSE,Randomized,Triple,OTHER,FALSE,"University of California, San Francisco; San Francisco VA Medical Center; NCIRE - The Veterans Health Research Institute",NA,"University of California, San Francisco",NA,2008,2008,2016,2016
NCT00694889,2016-05-12,2008-06-09,NA,Interventional,Phase 1/Phase 2,144,Completed,Randomized Clinical Trial of Intensive Computer-based Cognitive Remediation in Recent-onset Schizophrenia,2007-08-01T00:00:00Z,2015-02-01T00:00:00Z,2015-02-01T00:00:00Z,FALSE,Randomized,Triple,OTHER,TRUE,"University of California, San Francisco; San Francisco VA Medical Center; NCIRE - The Veterans Health Research Institute",NA,"University of California, San Francisco",NA,2008,2007,2015,2015
NCT00720733,2015-03-05,2008-07-21,NA,Interventional,Not Applicable,160,Completed,Intervention for (Those) Recently Informed of Seropositive Status (IRISS),2008-09-01T00:00:00Z,2014-12-01T00:00:00Z,2014-12-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2008,2008,2014,2014
NCT00734682,2015-01-05,2008-08-13,NA,Interventional,Phase 1,34,Completed,A Phase I Trial of Nanoliposomal CPT-11 (NL CPT-11) in Patients With Recurrent High-Grade Gliomas,2008-08-01T00:00:00Z,2014-12-01T00:00:00Z,2014-12-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2008,2008,2014,2014
NCT00739921,2019-12-02,2008-08-19,NA,Interventional,Not Applicable,260,Completed,The Polymerase Chain Reaction (PCR) Analysis of Nasal Polyps for Fungal DNA,2006-06-01T00:00:00Z,2015-05-01T00:00:00Z,2015-05-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2008,2006,2015,2015
NCT00751101,2020-09-11,2008-09-10,2020-09-11,Interventional,Phase 2,24,Terminated,Nicotine Patches in Reducing Hand-Foot Syndrome in Patients Who Are Receiving Capecitabine For Metastatic Breast Cancer,2007-08-20T00:00:00Z,2018-03-24T00:00:00Z,2014-03-24T00:00:00Z,TRUE,Randomized,None (Open Label),OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2008,2007,2018,2014
NCT00773604,2019-02-12,2008-10-07,2018-12-18,Interventional,Not Applicable,9,Completed,Deep Brain Stimulation in Patients With Dystonia,2008-06-01T00:00:00Z,2015-02-01T00:00:00Z,2015-02-01T00:00:00Z,TRUE,NA,None (Open Label),OTHER,TRUE,"University of California, San Francisco",NA,NA,NA,2008,2008,2015,2015
NCT00823459,2020-07-24,2009-01-13,2017-05-24,Interventional,Phase 2,58,Completed,Everolimus in Treating Patients With Recurrent Low-Grade Glioma,2009-01-23T00:00:00Z,2017-11-13T00:00:00Z,2017-06-12T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2009,2009,2017,2017
NCT00860145,2018-05-07,2009-03-11,NA,Interventional,Not Applicable,61,Completed,Radiosurgery or Open Surgery for Epilepsy Trial,2009-09-01T00:00:00Z,2016-07-01T00:00:00Z,2016-06-01T00:00:00Z,FALSE,Randomized,Triple,OTHER,TRUE,"University of California, San Francisco","University of California, San Francisco",NA,NA,2009,2009,2016,2016
NCT00871299,2014-12-01,2009-03-27,NA,Interventional,Not Applicable,173,Completed,Practicing Alternative Techniques to Heal From Depression: The PATH-D Study,2009-09-01T00:00:00Z,2014-06-01T00:00:00Z,2014-06-01T00:00:00Z,FALSE,Randomized,Single,OTHER,FALSE,"University of California, San Francisco",NA,NA,NA,2009,2009,2014,2014
NCT00905060,2021-03-23,2009-05-18,2021-02-25,Interventional,Phase 2,70,Completed,HSPPC-96 Vaccine With Temozolomide in Patients With Newly Diagnosed GBM,2009-06-29T00:00:00Z,2014-06-03T00:00:00Z,2014-06-03T00:00:00Z,TRUE,NA,None (Open Label),OTHER,TRUE,"University of California, San Francisco",NA,NA,NA,2009,2009,2014,2014
NCT00947206,2014-05-06,2009-07-24,NA,Interventional,Not Applicable,909,Completed,Lay Health Workers and Colorectal Cancer Screening Among Chinese Americans,2009-09-01T00:00:00Z,2014-05-01T00:00:00Z,2014-05-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,TRUE,"University of California, San Francisco",NA,NA,NA,2009,2009,2014,2014
NCT00948896,2015-10-26,2009-07-27,2015-04-30,Interventional,Phase 3,600,Completed,Chemopreventive Therapy for Malaria in Ugandan Children,2010-06-01T00:00:00Z,2014-04-01T00:00:00Z,2014-04-01T00:00:00Z,TRUE,Randomized,None (Open Label),OTHER,FALSE,"University of California, San Francisco",NA,"University of California, San Francisco",NA,2009,2010,2014,2014
NCT00957229,2020-12-16,2009-08-05,2020-10-08,Interventional,Phase 2,41,Completed,To Determine The Efficacy and Safety of GDC-0449 in Patients With Basal Cell Nevus Syndrome (BCNS),2009-08-01T00:00:00Z,2014-01-01T00:00:00Z,2014-01-01T00:00:00Z,TRUE,Randomized,Triple,OTHER,TRUE,UCSF Benioff Children's Hospital Oakland,NA,NA,NA,2009,2009,2014,2014
NCT00997035,2019-02-04,2009-10-14,2016-06-09,Interventional,Phase 3,240,Completed,The Mycotic Ulcer Treatment Trial II: A Randomized Trial Comparing Oral Voriconazole vs Placebo,2010-05-01T00:00:00Z,2016-03-01T00:00:00Z,2016-01-01T00:00:00Z,TRUE,Randomized,Quadruple,OTHER,TRUE,"Proctor Foundation, UCSF",NA,NA,NA,2009,2010,2016,2016
