nct_id,last_update_submitted_date,registration_date,summary_results_date,study_type,phase,enrollment,recruitment_status,title,start_date,completion_date,primary_completion_date,has_summary_results,allocation,masking,main_sponsor,is_multicentric,ucsf_lead_sponsor,ucsf_principal_investigator,ucsf_study_chair,ucsf_study_director,ucsf_unspecified_official,ucsf_responsible_party,registration_year,start_year,completion_year
NCT00000425,2013-04-30,1999-11-03,NA,Interventional,Phase 3,900,Completed,Toward Better Outcomes in Osteoarthritis,1996-07-01T00:00:00Z,2001-04-01T00:00:00Z,NA,FALSE,Randomized,None (Open Label),OTHER,FALSE,NA,NA,NA,"UCSF, Division of Rheumatology, SFGH",NA,NA,1999,1996,2001
NCT00000548,2015-03-03,1999-10-27,NA,Interventional,Phase 3,NA,Completed,Inhaled NO in Prevention of Chronic Lung Disease,2000-03-01T00:00:00Z,2006-02-01T00:00:00Z,NA,FALSE,Randomized,Double,OTHER,TRUE,"University of California, San Francisco",NA,NA,NA,NA,NA,1999,2000,2006
NCT00000579,2016-03-22,1999-10-27,NA,Interventional,Phase 3,NA,Completed,Acute Respiratory Distress Syndrome Clinical Network (ARDSNet),1994-09-01T00:00:00Z,2004-07-01T00:00:00Z,NA,FALSE,NA,NA,NIH,TRUE,NA,"University of California, San Francisco",NA,NA,NA,NA,1999,1994,2004
NCT00000774,2021-10-27,1999-11-02,NA,Interventional,Phase 1,156,Completed,A Phase I Study to Evaluate the Safety and Immunogenicity of Recombinant HIV-1 Envelope Antigen in Children Born to HIV-Infected Mothers,NA,1999-01-01T00:00:00Z,NA,FALSE,Randomized,Double,NIH,TRUE,NA,NA,UCSF Moffit Hospital,NA,NA,NA,1999,NA,1999
NCT00002596,2013-06-25,1999-11-01,NA,Interventional,Phase 3,270,Completed,Combination Chemotherapy With or Without Bone Marrow or Stem Cell Transplantation in Treating Men With Untreated Germ Cell Tumors,1994-09-01T00:00:00Z,2006-07-01T00:00:00Z,NA,FALSE,Randomized,NA,OTHER,TRUE,NA,NA,"University of California, San Francisco",NA,NA,NA,1999,1994,2006
NCT00002651,2017-03-03,1999-11-01,2016-11-15,Interventional,Phase 3,3040,Completed,"SWOG-9346, Hormone Therapy in Treating Men With Stage IV Prostate Cancer",1995-05-01T00:00:00Z,2013-06-01T00:00:00Z,2013-06-01T00:00:00Z,TRUE,Randomized,None (Open Label),NETWORK,TRUE,NA,NA,"University of California, San Francisco",NA,NA,NA,1999,1995,2013
NCT00002723,2013-02-27,1999-11-01,NA,Interventional,Phase 3,390,Completed,"Low, Intermediate, or High Dose Suramin in Treating Patients With Hormone-Refractory Prostate Cancer",1996-01-01T00:00:00Z,2008-03-01T00:00:00Z,2002-08-01T00:00:00Z,FALSE,Randomized,None (Open Label),NIH,TRUE,NA,NA,"University of California, San Francisco",NA,NA,NA,1999,1996,2008
NCT00002760,2016-06-27,1999-11-01,NA,Interventional,Phase 3,260,Completed,Antiandrogen Withdrawal in Treating Patients With Hormone-Refractory Prostate Cancer,1996-08-01T00:00:00Z,2009-04-01T00:00:00Z,2004-03-01T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,TRUE,NA,NA,"University of California, San Francisco",NA,NA,NA,1999,1996,2009
NCT00002768,2016-06-27,1999-11-01,NA,Interventional,Phase 2,51,Completed,Chemotherapy Plus Peripheral Stem Cell Transplantation in Treating Patients With Acute Myeloid Leukemia in Second Remission,1996-06-01T00:00:00Z,2009-03-01T00:00:00Z,2003-02-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,TRUE,NA,NA,"University of California, San Francisco",NA,NA,NA,1999,1996,2009
NCT00002971,2018-06-25,1999-11-01,NA,Interventional,Phase 1,NA,Completed,O(6)-Benzylguanine in Treating Patients With Malignant Glioma,1997-06-19T00:00:00Z,2009-01-01T00:00:00Z,2003-02-20T00:00:00Z,FALSE,NA,NA,OTHER,TRUE,NA,NA,UCSF Medical Center at Parnassus,NA,NA,NA,1999,1997,2009
NCT00003072,2012-09-19,1999-11-01,NA,Interventional,Phase 2,80,Completed,Combination Chemotherapy in Treating Patients With Metastatic Ovarian Cancer or Non-small Cell Lung Cancer,1997-05-01T00:00:00Z,1998-10-01T00:00:00Z,1998-10-01T00:00:00Z,FALSE,NA,NA,OTHER,TRUE,"University of California, San Francisco",NA,"University of California, San Francisco",NA,NA,NA,1999,1997,1998
NCT00003176,2018-06-25,1999-11-01,NA,Interventional,Phase 2,82,Completed,Temozolomide and Carmustine in Treating Patients With Anaplastic Glioma,1998-03-25T00:00:00Z,2004-01-06T00:00:00Z,2001-12-03T00:00:00Z,FALSE,NA,NA,OTHER,TRUE,NA,NA,UCSF Medical Center at Parnassus,NA,NA,NA,1999,1998,2004
NCT00003368,2013-03-19,1999-11-01,NA,Interventional,Phase 1,NA,Completed,Irinotecan in Treating Patients With Solid Tumors or Lymphoma Who Have Abnormal Liver or Kidney Function or Who Have Received Radiation Therapy to the Pelvis,1998-06-01T00:00:00Z,2006-07-01T00:00:00Z,NA,FALSE,NA,NA,NIH,TRUE,NA,NA,"University of California, San Francisco",NA,NA,NA,1999,1998,2006
NCT00003546,2016-07-19,1999-11-01,NA,Interventional,Phase 2,43,Completed,Gemcitabine Plus Radiation Therapy in Treating Patients With Pancreatic Cancer,1998-09-01T00:00:00Z,2006-01-01T00:00:00Z,2003-12-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,TRUE,NA,NA,"University of California, San Francisco",NA,NA,NA,1999,1998,2006
NCT00003616,2018-06-25,1999-11-01,NA,Interventional,Phase 1/Phase 2,NA,Completed,Irinotecan in Treating Patients With Progressive or Recurrent Malignant Glioma,1998-10-22T00:00:00Z,2005-12-20T00:00:00Z,2002-05-17T00:00:00Z,FALSE,NA,NA,OTHER,TRUE,NA,NA,UCSF Medical Center at Parnassus,NA,NA,NA,1999,1998,2005
