nct_id,last_update_submitted_date,registration_date,summary_results_date,study_type,phase,enrollment,recruitment_status,title,start_date,completion_date,primary_completion_date,has_summary_results,allocation,masking,main_sponsor,is_multicentric,usc_lead_sponsor,usc_principal_investigator,usc_study_director,usc_study_chair,usc_unspecified_official,usc_responsible_party,registration_year,start_year,completion_year
NCT00000491,2016-03-24,1999-10-27,NA,Interventional,Phase 3,NA,Completed,Aspirin-Myocardial Infarction Study (AMIS),1974-10-01T00:00:00Z,1979-08-01T00:00:00Z,NA,FALSE,Randomized,Double,NIH,TRUE,NA,NA,NA,NA,University of Southern California,NA,1999,1974,1979
NCT00000492,2016-07-11,1999-10-27,NA,Interventional,Phase 3,NA,Completed,Beta-Blocker Heart Attack Trial (BHAT),1977-09-01T00:00:00Z,1981-10-01T00:00:00Z,NA,FALSE,Randomized,Double,NIH,TRUE,NA,NA,NA,NA,University of Southern California,NA,1999,1977,1981
NCT00000559,2016-07-11,1999-10-27,NA,Interventional,Phase 3,NA,Completed,Women's Estrogen/Progestin Lipid Lowering Hormone Atherosclerosis Regression Trial (WELL-HART),1995-03-01T00:00:00Z,2001-08-01T00:00:00Z,NA,FALSE,Randomized,Double,NIH,TRUE,NA,NA,NA,NA,University of Southern California,NA,1999,1995,2001
NCT00000564,2005-06-23,1999-10-27,NA,Interventional,Phase 3,NA,Completed,Nocturnal Oxygen Therapy,1976-07-01T00:00:00Z,NA,NA,FALSE,Randomized,NA,NIH,TRUE,NA,NA,NA,NA,University of Southern California,NA,1999,1976,NA
NCT00000599,2013-12-12,1999-10-27,NA,Interventional,Phase 3,NA,Completed,Cholesterol-Lowering Atherosclerosis Study (CLAS),1980-06-01T00:00:00Z,1994-11-01T00:00:00Z,NA,FALSE,Randomized,NA,NIH,TRUE,NA,NA,NA,NA,University of Southern California,NA,1999,1980,1994
NCT00000600,2013-12-12,1999-10-27,NA,Interventional,Phase 2,NA,Terminated,Vitamin E and C to Slow Progression of Common Carotid Artery Plaque Build-Up,1995-06-01T00:00:00Z,2000-05-01T00:00:00Z,NA,FALSE,Randomized,NA,NIH,TRUE,NA,University of Southern California,NA,NA,NA,NA,1999,1995,2000
NCT00002052,2005-06-23,1999-11-02,NA,Interventional,Not Applicable,NA,Completed,Prospective Comparison of Ampicillin / Amoxicillin Versus Ceftriaxone for the Treatment of Salmonella Infections in AIDS Patients,NA,NA,NA,FALSE,NA,NA,OTHER,FALSE,University of Southern California,NA,NA,NA,NA,NA,1999,NA,NA
NCT00002473,2013-06-11,1999-11-01,NA,Interventional,Phase 3,NA,Completed,Kidney-Sparing Surgery Compared With Kidney Removal in Treating Patients With Kidney Cancer,1992-03-01T00:00:00Z,NA,2011-02-01T00:00:00Z,FALSE,Randomized,NA,NETWORK,TRUE,NA,NA,NA,University of Southern California,NA,NA,1999,1992,NA
NCT00002863,2014-05-20,1999-11-01,NA,Interventional,Phase 1,19,Terminated,Cryosurgery in Treating Patients With Soft Tissue Sarcoma,1996-06-01T00:00:00Z,2000-07-01T00:00:00Z,2000-07-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,University of Southern California,NA,NA,University of Southern California,NA,NA,1999,1996,2000
NCT00002955,2014-05-20,1999-11-01,NA,Interventional,Phase 2,21,Completed,Combination Chemotherapy in Treating Patients With Advanced Cancer of the Pancreas,1995-08-01T00:00:00Z,2006-06-01T00:00:00Z,2000-05-01T00:00:00Z,FALSE,NA,NA,OTHER,FALSE,University of Southern California,NA,NA,University of Southern California,NA,NA,1999,1995,2006
NCT00002980,2013-02-13,1999-11-01,NA,Interventional,Phase 1,NA,Completed,Decitabine in Treating Patients With Melanoma or Other Advanced Cancer,1997-05-01T00:00:00Z,NA,NA,FALSE,NA,NA,NETWORK,TRUE,NA,NA,NA,University of Southern California,NA,NA,1999,1997,NA
