nct_id,last_update_submitted_date,registration_date,summary_results_date,study_type,phase,enrollment,recruitment_status,title,start_date,completion_date,primary_completion_date,has_summary_results,allocation,masking,main_sponsor,is_multicentric,usc_principal_investigator,usc_study_director,usc_study_chair,usc_unspecified_official,registration_year,start_year,completion_year,primary_completion_year
NCT00023595,2019-09-17,2001-09-11,2016-12-23,Interventional,Phase 3,2136,Completed,Comparison of Surgical and Medical Treatment for Congestive Heart Failure and Coronary Artery Disease,2002-01-01T00:00:00Z,2015-11-01T00:00:00Z,2015-11-01T00:00:00Z,TRUE,Randomized,None (Open Label),OTHER,FALSE,"Magnetic Resonance Imaging Core Lab, University of Southern California",NA,NA,NA,2001,2002,2015,2015
NCT00104923,2017-07-18,2005-03-03,NA,Interventional,Phase 1,29,Completed,Fenretinide in Treating Patients With Refractory or Relapsed Hematologic Cancer,2005-02-01T00:00:00Z,2017-04-01T00:00:00Z,2017-04-01T00:00:00Z,FALSE,Non-Randomized,None (Open Label),NETWORK,TRUE,NA,NA,University of Southern California,NA,2005,2005,2017,2017
NCT00134056,2021-10-08,2005-08-22,2017-01-04,Interventional,Phase 3,1038,Completed,"S0421, Docetaxel and Prednisone With or Without Atrasentan in Treating Patients With Stage IV Prostate Cancer and Bone Metastases That Did Not Respond to Previous Hormone Therapy",2006-08-01T00:00:00Z,2016-02-01T00:00:00Z,2016-02-01T00:00:00Z,TRUE,Randomized,Triple,NETWORK,TRUE,NA,NA,University of Southern California,NA,2005,2006,2016,2016
NCT00140413,2015-03-27,2005-08-31,2015-02-17,Interventional,Phase 4,20,Completed,Endocrine Dysfunction and Growth Hormone Deficiency in Children With Optic Nerve Hypoplasia,2004-12-01T00:00:00Z,2014-02-01T00:00:00Z,2014-02-01T00:00:00Z,TRUE,Randomized,None (Open Label),OTHER,FALSE,Childrens Hospital Los Angeles; University of Southern California,NA,NA,NA,2005,2004,2014,2014
NCT00183820,2017-07-05,2005-09-09,NA,Interventional,Phase 2,30,Completed,"Study of Gemcitabine, Oxaliplatin, and Paclitaxel in Patients With Refractory Germ Cell Carcinoma",2004-11-01T00:00:00Z,2016-08-01T00:00:00Z,2015-12-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,University of Southern California,NA,NA,NA,2005,2004,2016,2015
NCT00183872,2018-01-21,2005-09-09,2018-01-21,Interventional,Phase 2,40,Completed,Study of Irinotecan and Docetaxel in Patients With Metastatic or Unresectable Gastric or Gastroesophageal Junction Adenocarcinoma,2005-04-14T00:00:00Z,2015-10-20T00:00:00Z,2014-10-20T00:00:00Z,TRUE,NA,None (Open Label),OTHER,FALSE,University of Southern California (U.S.C.)/ Norris Comprehensive Cancer Center,NA,NA,NA,2005,2005,2015,2014
NCT00279630,2014-12-02,2006-01-17,NA,Interventional,Phase 1,45,Completed,Exercise and Shoe Orthoses in Treatment of Posterior Tibial Tendon Dysfunction,2002-06-01T00:00:00Z,2014-12-01T00:00:00Z,2014-12-01T00:00:00Z,FALSE,Randomized,Single,OTHER,FALSE,University of Southern California,NA,NA,NA,2006,2002,2014,2014
NCT00442286,2017-01-30,2007-02-27,2016-11-18,Interventional,Not Applicable,591,Completed,Rheos® Pivotal Trial,2006-10-01T00:00:00Z,2016-01-01T00:00:00Z,2016-01-01T00:00:00Z,TRUE,Randomized,Quadruple,INDUSTRY,TRUE,University of Southern California,NA,NA,NA,2007,2006,2016,2016
NCT00552071,2018-08-13,2007-10-31,2018-02-09,Interventional,Phase 4,15,Completed,Ultrasound Guided Octreotide LAR Injection in Acromegaly,2007-07-01T00:00:00Z,2014-03-01T00:00:00Z,2014-03-01T00:00:00Z,TRUE,Randomized,None (Open Label),OTHER,FALSE,University of Southern California,NA,NA,NA,2007,2007,2014,2014
NCT00556907,2017-07-05,2007-11-08,NA,Interventional,Not Applicable,22,Terminated,Targeted Intra-Operative Radiotherapy for the Management of Ductal Carcinoma In-Situ of the Breast,2007-10-01T00:00:00Z,2016-11-01T00:00:00Z,2015-03-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,University of Southern California,NA,NA,NA,2007,2007,2016,2015
NCT00574769,2017-04-09,2007-12-14,NA,Interventional,Phase 1/Phase 2,27,Completed,Safety Study & Effectiveness of Docetaxel With RAD001 and Bevacizumab in Men With Advanced Prostate Cancer,2010-02-17T00:00:00Z,2017-02-17T00:00:00Z,2016-02-17T00:00:00Z,FALSE,NA,None (Open Label),OTHER,TRUE,University of Southern California,NA,NA,NA,2007,2010,2017,2016
NCT00669656,2017-04-18,2008-04-28,NA,Interventional,Phase 2,43,Completed,Herbal Therapy for Treatment of Recurrent Prostate Cancer,2008-07-06T00:00:00Z,2014-10-14T00:00:00Z,2014-07-08T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,University of Southern California,NA,NA,NA,2008,2008,2014,2014
NCT00730314,2016-06-21,2008-08-06,NA,Interventional,Phase 1/Phase 2,25,Completed,Unrelated Hematopoietic Stem Cell Transplantation(HSCT) for Genetic Diseases of Blood Cells,2008-08-01T00:00:00Z,2015-08-01T00:00:00Z,2015-08-01T00:00:00Z,FALSE,Non-Randomized,None (Open Label),OTHER,FALSE,"Childrens Hospital Los Angeles, University of Southern California",NA,NA,NA,2008,2008,2015,2015
NCT00860145,2018-05-07,2009-03-11,NA,Interventional,Not Applicable,61,Completed,Radiosurgery or Open Surgery for Epilepsy Trial,2009-09-01T00:00:00Z,2016-07-01T00:00:00Z,2016-06-01T00:00:00Z,FALSE,Randomized,Triple,OTHER,TRUE,University of Southern California,NA,NA,NA,2009,2009,2016,2016
NCT00871715,2019-06-14,2009-03-27,2016-02-17,Interventional,Not Applicable,361,Completed,Arm Rehabilitation Study After Stroke,2009-06-01T00:00:00Z,2014-02-01T00:00:00Z,2014-02-01T00:00:00Z,TRUE,Randomized,Single,OTHER,TRUE,University of Southern California,University of Southern California,NA,NA,2009,2009,2014,2014
NCT00888498,2015-07-01,2009-04-24,NA,Interventional,Phase 2/Phase 3,189,Suspended,Ankle Manual Therapy for Ankle Sprains,2009-01-01T00:00:00Z,2015-12-01T00:00:00Z,2015-12-01T00:00:00Z,FALSE,Randomized,Double,OTHER,FALSE,NA,University of Southern California,NA,NA,2009,2009,2015,2015
NCT01140282,2019-06-17,2010-06-04,NA,Interventional,Not Applicable,106,Completed,Exercise Program for Early Breast Cancer Survivors,2012-05-21T00:00:00Z,2018-10-01T00:00:00Z,2017-09-28T00:00:00Z,FALSE,Randomized,None (Open Label),OTHER,FALSE,University of Southern California,NA,NA,NA,2010,2012,2018,2017
NCT01153919,2017-04-09,2010-06-24,NA,Interventional,Phase 2,27,Terminated,Romiplostim in Treating Hepatitis C-Infected Patients With Thrombocytopenia,2010-06-30T00:00:00Z,2018-07-14T00:00:00Z,2014-07-14T00:00:00Z,FALSE,Randomized,Double,OTHER,FALSE,University of Southern California,NA,NA,NA,2010,2010,2018,2014
NCT01238965,2015-05-26,2010-11-03,NA,Interventional,Phase 1,7,Terminated,Panobinostat and Fluorouracil Followed By Leucovorin Calcium in Treating Patients With Stage IV Colorectal Cancer Who Did Not Respond to Previous Fluorouracil-Based Chemotherapy,2010-10-01T00:00:00Z,2015-04-01T00:00:00Z,2014-12-01T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,University of Southern California,NA,NA,NA,2010,2010,2015,2014
NCT01240629,2017-07-05,2010-06-30,NA,Interventional,Phase 1/Phase 2,43,Completed,Doxorubicin-GnRH Agonist Conjugate AEZS-108 in Treating Patients With Metastatic Hormone-Resistant Prostate Cancer,2010-11-02T00:00:00Z,2017-02-02T00:00:00Z,2017-02-02T00:00:00Z,FALSE,NA,None (Open Label),OTHER,FALSE,University of Southern California,NA,NA,NA,2010,2010,2017,2017
NCT01291277,2016-12-23,2011-02-04,2016-10-25,Interventional,Phase 4,90,Completed,Time Interval for Endoscopic Variceal Ligation,2008-08-01T00:00:00Z,2015-12-01T00:00:00Z,2015-09-01T00:00:00Z,TRUE,Randomized,None (Open Label),OTHER,FALSE,University of Southern California,NA,NA,NA,2011,2008,2015,2015
